Species,femur
Thylacinus_cynocephalus,18.244243583255056
Dasyurus_maculatus,14.242206887545002
Dasyurus_viverrinus,12.819300221906632
Pseudocheirus_peregrinus,7.622552400999983
Spilocuscus_maculatus,11.44540804266671
Trichosurus_vulpecula,12.963702349999952
Hypsiprymnodon_moschatus,9.254502256470039
Aepyprymnus_rufescens,14.83427252865001
Bettongia_penicillata,13.588691606319992
Bettongia_tropica,11.240182280000159
Dendrolagus_bennettianus,20.33650748675996
Dendrolagus_goodfellowi,20.634758336666522
Dendrolagus_lumholtzi,17.94308096969001
Dendrolagus_matschiei,16.849828139860016
Dorcopsulus_vanheurni,12.719261205000105
Lagorchestes_conspicillatus,16.332681190000002
Lagorchestes_hirsutus,13.953592146775938
Lagostrophus_fasciatus,13.140001445000046
Macropus_fuliginosus,21.440208590879962
Macropus_giganteus,25.34161838742791
Notamacropus_agilis,19.690883316591208
Notamacropus_irma,18.535074430899986
Onychogalea_fraenata,16.12560450518984
Onychogalea_unguifera,17.502709281160076
Osphranter_antilopinus,21.837871683368117
Osphranter_robustus,21.93599445688002
Osphranter_rufus,41.17528013500031
Petrogale_brachyotis,17.21474454000001
Petrogale_penicillata,19.310014156666544
Petrogale_persephone,18.428085558053354
Potorous_tridactylus,15.010871732623945
Setonix_brachyurus,15.60732039626667
Thylogale_stigmatica,19.89831491000026
Thylogale_thetis,21.096748269999843
Wallabia_bicolor,20.697982552759953
'14',13.56589351831462
'25',12.108082407904629
'37',12.404073821780731
'36',13.311053246189747
'35',13.709023883842514
'34',18.799363209326863
'33',18.747125299520977
'51',18.32686265230144
'57',20.4647107668774
'56',19.098172618293717
'63',21.909998273493343
'73',23.44302502819831
'84',15.176572874077031
'82',16.80802174393417
'13',15.677233472107432
'43',18.746683757772477
'50',18.68047529676582
'48',19.323770482789204
'47',26.925326733810326
'49',18.68047529676582
'68',20.75797454380344
'60',19.362738112551067
'72',20.97865782699453
'87',19.968561643816994
'83',19.803282084519914
'80',19.803282084519914
'79',19.56554481286895
'94',18.961349982838538
'92',17.113662107519787
'78',16.202619757971387
'98',14.415109021086279
'97',13.444456822796472
'77',13.164734811119528
Node 69,14.020996352496192
