Thylacinus cynocephalus
Dasyurus maculatus
Dasyurus viverrinus
Pseudocheirus peregrinus
Spilocuscus maculatus
Trichosurus vulpecula
Hypsiprymnodon moschatus
Aepyprymnus rufescens
Bettongia penicillata
Bettongia tropica
Dendrolagus bennettianus
Dendrolagus goodfellowi
Dendrolagus lumholtzi
Dendrolagus matschiei
Dorcopsis atrata
Dorcopsis luctuosa
Dorcopsis muelleri
Dorcopsulus vanheurni
Lagostrophus fasciatus
Lagorchestes conspicillatus
Lagorchestes hirsutus
Macropus fuliginosus
Macropus giganteus
Notamacropus agilis
Notamacropus irma
Onychogalea fraenata
Onychogalea unguifera
Osphranter antilopinus
Osphranter robustus
Osphranter rufus
Petrogale brachyotis
Petrogale penicillata
Petrogale persephone
Potorous tridactylus
Setonix brachyurus
Thylogale stigmatica
Thylogale stigmatica
Thylogale thetis
Wallabia bicolor

