Individual,Species,dentary,dentary,dentary,dentary,dentary,dentary,scapula,scapula,scapula,scapula,scapula,scapula,scapula,humerus,humerus,humerus,humerus,humerus,femur,femur,femur,femur,Tibia,Calcaneus,Calcaneus,Calcaneus,Calcaneus,Calcaneus,
Spilocuscus_maculatus_JM18184,Spilocuscus_maculatus,4.104189175,10.19409312,2.210134557,2.249916432,11.7419784,11.06278205,10.55011566,38.50739848,6.985934851,10.69395565,5.961199597,121.4865642,37.89536904,10.34234956,13.61008698,5.146625637,6.899925767,132.0233499,9.286325328,2.8761665,18.91144533,72.11513679,64.59,,,,,,
Trichosurus_vulpecula_JM10017,Trichosurus_vulpecula,4.026580449,7.335170706,2.389532026,2.356936722,11.66705859,12.21641046,12.25347803,42.86905791,7.030669179,11.244309,7.030803224,125.9349811,33.52720256,9.686387847,14.86275282,6.25751364,6.992380518,132.1136668,11.5104436,2.367513617,21.14452201,87.62,87.17,,,,,,
Trichosurus_vulpecula_JM1872,Trichosurus_vulpecula,3.739994828,5.967429011,2.408297053,2.723880298,9.879983995,10.57740878,10.86529435,42.05805717,7.599168314,11.68049076,6.228644557,125.8548418,36.81722557,9.704042749,14.10302116,6.837893751,8.331838239,134.2580808,13.23785475,1.562813915,,,,,,,,,
Trichosurus_vulpecula_JM8567,Trichosurus_vulpecula,4.16468952,6.778379659,1.813370588,2.762869828,9.376770314,9.945692928,10.38230791,40.78557125,7.763618324,12.38325867,6.351913599,125.7464092,34.39413929,10.59199135,14.62583949,6.628274783,8.458762079,131.5576551,10.32395416,1.452874212,,,,,,,,,
Trichosurus_vulpecula_M39088,Trichosurus_vulpecula,4.305687829,10.41503369,2.63691424,3.699013878,14.57312796,15.278908,14.57858858,57.1899434,10.40921909,16.96262689,9.410332728,134.8931383,38.95561236,13.56903445,20.13472583,8.071610879,10.5485366,142.5069455,13.74807677,2.32442544,27.82987271,108.4064897,,,,,,,
Trichosurus_vulpecula_SAMAM20643,Trichosurus_vulpecula,,,,,,,,,,,,,,10.55231812,13.94320986,8.182451128,8.135243785,133.4640597,12.837245,1.893631523,20.60248909,87.64502027,,15.49249065,7.362438917,10.03450528,5.835271588,6.026149985,
Trichosurus_vulpecula_UMZC-A9.16,Trichosurus_vulpecula,,,,,,,,,,,,,,,,,,,16.12463982,1.909893225,25.37771774,102.8655821,98.78953762,,,,,,
Hypsiprymnodon_moschatus_J6249,Hypsiprymnodon_moschatus,2.316560384,4.258437628,12.82235328,1.67558087,5.031426823,4.770180603,,,,,,,,,,,,,,,,,,,,,,,
Hypsiprymnodon_moschatus_JM6187,Hypsiprymnodon_moschatus,,,,,,,,,4.913100691,6.238077938,3.506932298,129.7770208,31.1377437,5.579976123,7.317594272,4.625537792,4.471247977,154.0158582,7.224621165,1.800080794,14.794912,59.25409932,,,,,,,
Hypsiprymnodon_moschatus_M4154,Hypsiprymnodon_moschatus,,,,,,,,,,,,,,6.29980514,7.774336531,4.90168826,4.796337005,145.9606016,8.063694062,1.362987257,14.59292393,60.04154957,,11.16109471,5.257472891,5.245814495,3.506876373,5.777853212,
Hypsiprymnodon_moschatus_M42749,Hypsiprymnodon_moschatus,2.735581025,4.724183334,,1.624847396,6.672155937,5.108917483,7.18931234,27.10691323,4.877178447,6.311971627,3.594378805,123.4631739,59.86977684,5.575315629,7.416505085,4.772677751,4.728139859,147.6467776,7.770504805,1.430349122,12.99957728,57.93386473,62.74,,,,,,
Aepyprymnus_rufescens_FMNH124573,Aepyprymnus_rufescens,,,,,,,,,,,,,,,,,,,,,,,,25.6381773,13.11055627,14.86281121,7.587187558,13.61294932,
Aepyprymnus_rufescens_JM15466,Aepyprymnus_rufescens,4.31890706,7.489514708,,4.119454976,13.78459244,8.82503036,18.26848481,36.01444886,6.501255871,7.97950717,4.609470646,139.6657527,55.49315457,7.448367289,10.02424591,7.36665832,6.66992194,133.1522016,13.97435324,3.948556785,,,,,,,,,
Aepyprymnus_rufescens_JM20152,Aepyprymnus_rufescens,4.03282329,6.735129396,32.29508618,4.434269372,11.27149848,9.833963501,17.016052,38.99864518,6.965628431,8.174653219,5.474931257,136.0339899,66.94473281,8.113017584,10.90630298,6.630917804,6.115581777,126.8029073,17.39331126,3.065016992,28.31962061,111.6966881,,,,,,,
Aepyprymnus_rufescens_JM20274,Aepyprymnus_rufescens,3.542598475,5.150399437,29.31265771,3.981611577,9.109098906,8.043660361,16.50567583,34.65624031,6.352209601,7.667970411,4.857329249,139.5136394,47.18348991,,,,,,,,,,,,,,,,
Aepyprymnus_rufescens_JM9339,Aepyprymnus_rufescens,4.51266897,6.557197207,,4.870102337,10.59748678,9.691172418,15.74865525,32.909137,5.810538337,7.2457153,4.795541127,129.6037007,66.26749172,6.766592454,9.084837755,6.416555278,6.393284882,136.0399212,12.16416009,3.29098264,,,,,,,,,
Aepyprymnus_rufescens_M2939,Aepyprymnus_rufescens,,,,,,,,,,,,,,,,,,,,,,,132.646961,,,,,,
