"Species","mean"
"Aepyprymnus_rufescens",4.496925574225
"Bettongia_penicillata",3.26458711998
"Bettongia_tropica",3.3706955
"Dasyurus_maculatus",5.88790525703
"Dasyurus_viverrinus",5.24937750088
"Dendrolagus goodfellowi",5.79110026433333
"Dendrolagus_benettianus",5.91274585614
"Dendrolagus_lumholtzi",5.97806991389
"Dendrolagus_matschiei",5.69004210796
"Dorcopsis_atrata",5.51803543
"Dorcopsis_luctuosa",4.82348981836
"Dorcopsis_muelleri",5.163614773648
"Dorcopsulus_vanheurni",4.8097198157
"Hypsiprymnodon_moschatus",3.68134867678
"Lagorchestes_hirsutus",4.03689144272
"Lagostrophus_fasciatus",4.17430926598
"Macropus_fuliginosus",8.370892382944
"Macropus_giganteus",8.96620145032
"Notamacropus_agilis",6.67877363780889
"Notamacropus_irma",5.43340552094
"Onychogalea_fraenata",3.97624612175
"Onychogalea_unguifera",5.35917532552
"Osphranter_antilopinus",7.815635414856
"Osphranter_robustus",8.510532254232
"Osphranter_rufus",6.72934119952
"Petrogale_brachyotis",4.546969391728
"Petrogale_persephone",5.14908428268
"Potorous_tridactylus",4.147368173368
"Pseudocheirus_peregrinus",3.02465749045333
"Setonix_brachyurus",4.70156395514667
"Spilocuscus_maculatus",4.89497164562667
"Thylacinus_cynocephalus",8.46445932452
"Thylogale_stigmatica",4.798909011
"Thylogale_thetis",4.97182315138667
"Trichosurus_vulpecula",4.27348088694
"Wallabia_bicolor",5.76631900536
