"Species","Individual","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_FMNH124573",5.083444915,8.741587841,31.32468748,5.075847837,16.18014901,13.68253033,18.26848481,62.68813859,10.1958988,12.35855486,9.433119249,131.5566314,57.76702381,13.45036547,21.35404308,7.38,7.664708601,130.5078937,13.97435324,3.211424438,28.93969123,100.8265443,115.65,25.6381773,13.11055627,14.86281121,7.587187558,13.61294932
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM15466",4.31890706,7.489514708,33.08613196,4.119454976,13.78459244,8.82503036,18.26848481,36.01444886,6.501255871,7.97950717,4.609470646,139.6657527,55.49315457,7.448367289,10.02424591,7.36665832,6.66992194,133.1522016,13.97435324,3.948556785,28.31962061,103.053071,115.65,NA,9.407382194,10.8634889,2.982089857,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20152",4.03282329,6.735129396,32.29508618,4.434269372,11.27149848,9.833963501,17.016052,38.99864518,6.965628431,8.174653219,5.474931257,136.0339899,66.94473281,8.113017584,10.90630298,6.630917804,6.115581777,126.8029073,17.39331126,3.065016992,28.31962061,111.6966881,87.17,NA,5.257472891,5.245814495,7.587187558,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20274",3.542598475,5.150399437,29.31265771,3.981611577,9.109098906,8.043660361,16.50567583,34.65624031,6.352209601,7.667970411,4.857329249,139.5136394,47.18348991,10.34234956,14.4715525,6.11842404,6.66992194,126.6454817,17.28932447,2.817727775,33.29254106,129.9791463,101.6829248,NA,11.55452253,13.51084031,9.802405615,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM9339",4.51266897,6.557197207,12.82235328,4.870102337,10.59748678,9.691172418,15.74865525,32.909137,5.810538337,7.2457153,4.795541127,129.6037007,66.26749172,6.766592454,9.084837755,6.416555278,6.393284882,136.0399212,12.16416009,3.29098264,21.2968149,95.09654109,119.39,NA,5.257472891,9.762271913,2.982089857,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M2939",4.026580449,6.291354695,25.40233513,6.128447163,9.902174134,10.57740878,34.33285454,138.3961053,23.49978408,27.22698883,19.26133048,136.6580716,55.49315457,32.98565439,37.97077255,17.16120261,18.61704951,130.5078937,20.626407,7.727151567,39.96425523,143.8097752,132.646961,NA,15.10075234,13.51084031,13.69893674,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M32283",3.878163179,6.291354695,32.04365157,3.895816318,9.902174134,9.773551523,16.05030083,34.6172266,6.754707692,7.704542968,5.390018918,136.6580716,61.9141421,7.345252525,9.683276826,6.11842404,5.669828133,131.878567,12.80148742,2.925633089,25.34140101,102.5092061,85.36,NA,7.362438917,5.853643819,5.93366381,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_MSU-MR4680",4.305687829,8.720692075,40.72547165,3.895816318,12.23373358,8.82503036,25.35484528,36.49172501,6.985934851,10.83525449,6.119366399,136.6580716,51.2413224,10.32963956,14.4715525,6.416555278,6.542683451,123.4242032,15.19594107,3.168783432,28.6532939,103.053071,119.39,24.03038122,11.55452253,13.09128808,7.115127606,12.84718807
"Dasyurus_maculatus","Bettongia_penicillata_FMNH-129431",3.116387491,5.118350005,2.402323025,2.822828884,9.289239718,7.413755631,9.422770698,27.53026646,5.758202051,7.184242392,4.233781628,131.5566314,102.3874976,11.48886436,15.63535484,8.071610879,7.589419716,145.9606016,8.417542399,1.452874212,20.7345,59.25409932,103.2981182,NA,3.929842994,9.66630652,8.035110785,NA
"Dasyurus_maculatus","Bettongia_penicillata_M27628",4.03282329,7.489514708,2.136300474,2.530469181,12.1472526,8.82503036,12.52149087,28.32710763,5.91046795,7.406415462,4.072079128,129.9788681,108.2628898,6.269822597,8.748903614,5.472284765,5.052616347,131.9055972,11.96138699,1.982907247,22.15948288,79.58308777,101.6829248,19.80585108,9.487531468,9.762271913,4.525278475,10.6257562
"Dasyurus_maculatus","Bettongia_penicillata_M27943",2.869113259,5.009651174,2.782504214,2.034000772,8.470054614,7.392063472,10.863089,35.10137279,8.533228509,10.83525449,7.301935521,130.3218729,119.2028207,9.897369928,13.2,6.783416654,5.95115976,122.4449379,11.44301158,1.893631523,20.09921444,82.33751626,103.2981182,NA,18.93471799,16.83786842,4.525278475,NA
