"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Aepyprymnus_rufescens",133.748014925,134.17372245,135.68848875,131.6431408875,127.1013605625,126.39756745,127.8899247875,137.1193137125,136.17373965,126.8779735125,137.16407725,137.0555360125,136.6366448375,137.1830914125,126.562724975,128.0156669875,126.1510194125,136.475133725,133.0036806125,136.2822808875,126.2680943,135.1808394875,135.165436575,137.521023225,127.9870729875
"Bettongia_penicillata",121.458171075,135.1787229,134.961640425,135.089195825,133.55689025,123.755200675,133.712910675,133.400869825,131.94931795,123.624560875,134.426802625,120.827674,133.350601575,135.0511675,127.678541,121.515359075,120.884862,120.047227775,132.573682825,121.458171075,134.2707822,132.3065586,132.701238225,127.21003435,134.2836764
"Bettongia_tropica",128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315,128.66820315
"Dasyurus_maculatus",113.7496054,115.750837675,133.542052425,130.405037425,114.76864705,129.4849947375,133.7218686625,115.1881553375,131.4547604,132.581562775,113.751190525,131.3219992375,133.1486225125,117.045960075,131.4727243625,119.6512038125,111.9279439,114.529086525,127.1405285125,114.6697547875,131.075892775,132.2145115125,122.0064694375,115.6594692625,127.8322905375
"Dasyurus_viverrinus",117.468561366667,124.814302666667,117.401325633333,114.405855233333,124.9336721,117.2181243,117.294374966667,124.9336721,117.468561366667,117.2181243,123.740276766667,114.405855233333,113.565192466667,116.0321998,114.405855233333,118.257432466667,124.9336721,116.0321998,116.0321998,121.6303592,113.565192466667,117.468561366667,117.636417733333,113.565192466667,124.814302666667
"Dendrolagus_bennettianus",112.35166325,129.22532855,127.9765988,124.44941335,127.9765988,118.2067166,129.4043827,112.35166325,118.2067166,113.6126574,118.4980316,127.66455795,129.4043827,127.9765988,116.27016855,116.27016855,129.48043935,119.39002325,129.22532855,129.4043827,124.63699705,117.831061,113.6126574,124.44941335,127.66455795
"Dendrolagus_goodfellowi",123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998,123.7590998
"Dendrolagus_lumholtzi",126.0905307,122.8753861,126.246551125,127.6513013,114.14783195,126.0905307,112.6278915,114.14783195,112.73688865,126.0905307,119.0394463,125.2633437,110.777636,113.258388575,125.2633437,114.478147,122.0873497,123.90190825,113.258388575,125.352870775,127.7788567,112.6278915,122.8753861,125.352870775,126.04026245
"Dendrolagus_matschiei",139.5136394,139.6657527,132.4386123,139.5136394,137.77381465,139.4106419,138.0858555,137.5947605,106.66919465,106.66919465,112.8092225,137.5947605,112.4233944,136.2957625,139.58969605,110.36970565,138.0858555,109.1087115,110.88759825,137.5947605,137.5947605,107.9301888,129.6037007,129.6037007,109.3267058
"Dorcopsulus_vanheurni",115.66136485,132.7140843,119.36187585,115.66136485,119.36187585,131.2863004,131.2863004,132.7140843,119.36187585,130.97425955,132.53503015,132.53503015,129.17657075,132.53503015,119.36187585,131.2863004,132.7140843,121.1407626,121.1407626,132.79014095,130.97425955,119.36187585,127.75911495,125.48199025,119.36187585
"Hypsiprymnodon_moschatus",127.19068045,118.8110358,120.6041033,133.1048967,126.59812295,118.7538478,118.8110358,128.5837476,133.015369625,116.644646,126.301237075,131.639084475,132.171821875,132.0822948,123.913279475,121.607922675,121.550734675,120.527892275,126.428792475,126.301237075,127.19068045,132.26344935,133.015369625,132.887814225,120.6041033
"Lagorchestes_conspicillatus",133.5611366,117.69335465,116.4323605,128.5301106,133.3060258,117.69335465,132.05729605,133.5611366,122.28741385,131.69498695,122.57872885,132.05729605,117.69335465,133.48507995,128.5301106,131.7452552,122.02613425,120.1328715,128.5301106,120.1328715,116.4323605,121.91175825,133.3060258,131.7452552,125.649261
"Lagorchestes_hirsutus",131.33305698,124.03029316,130.3357535,115.89514012,131.31196528,132.00789518,116.16536168,130.68765704,132.07951684,128.67524664,132.03831784,115.34499206,117.55947424,117.59981568,114.89630606,123.24601866,131.47798062,124.41613628,131.38358694,116.01847866,130.61701978,130.8352454,116.2660755,117.49868306,113.77758994
"Lagostrophus_fasciatus",139.33458525,123.54285995,125.9823768,137.90680135,139.33458525,139.4106419,134.3796159,133.84596795,125.9823768,139.33458525,127.76126355,125.9823768,125.9823768,128.13691915,125.9823768,139.33458525,137.54449225,133.9167425,139.4106419,123.54285995,139.33458525,127.76126355,125.9823768,133.3060258,122.2818658
"Macropus_fuliginosus",135.34929394,133.41783616,132.56216242,130.08894526,115.98049456,111.95111178,132.91069362,114.25279168,135.24892994,135.19573526,113.90272526,113.45276372,114.01264606,135.17562796,114.01264606,133.28536918,135.5550629,119.172969,116.05007392,136.02413214,130.03191184,132.62537258,116.37793484,113.68760284,112.45550944
"Macropus_giganteus",116.87148095,134.15310839,116.5421165,117.49233244,119.21350229,127.58676663,134.16059206,117.94515528,114.97551954,134.39805758,135.71209938,119.21041743,134.70529456,117.06668488,135.09349528,133.63450282,115.54627777,135.23207402,116.92644135,119.19138338,117.77525482,115.7756014,117.36801785,133.42855763,135.39371693
"Notamacropus_agilis",114.635215033333,114.520127788889,133.675170466667,133.765664711111,132.195462222222,115.852858977778,132.019075166667,133.385023844444,130.2137315,130.461067222222,114.521536788889,115.701243855556,132.2526187,115.362614922222,133.334063311111,131.632447444444,132.658769366667,133.385023844444,132.901915022222,131.182815244444,114.763820833333,132.484896888889,114.686048811111,118.025986533333,133.373853122222
"Notamacropus_irma",121.830175,121.944551,133.22444255,133.47955335,122.2058306,131.9757128,133.47955335,120.05128825,133.22444255,133.4034967,133.22444255,133.4034967,120.05128825,133.22444255,128.44852735,121.944551,121.944551,121.830175,133.4034967,133.47955335,133.4034967,120.05128825,133.22444255,131.66367195,133.4034967
"Onychogalea_fraenata",131.43999405,131.350466975,116.82999885,118.99638865,116.199501775,119.12702845,120.073659825,131.478022375,118.049757275,114.349246275,120.162129325,128.054568675,118.93920065,114.97974335,130.41739215,130.688073775,118.93920065,131.31243865,131.350466975,124.169871675,122.875606,125.7136056,119.252920725,118.158754425,131.401965725
"Onychogalea_unguifera",128.7292045,117.16708905,129.0915136,130.59535415,130.59535415,130.5192975,125.56432815,113.46657805,130.5192975,113.46657805,130.59535415,128.77947275,113.46657805,113.46657805,128.7292045,114.7275722,129.0915136,117.16708905,118.9459758,125.56432815,130.5192975,128.77947275,130.59535415,130.5192975,113.46657805
"Osphranter_antilopinus",134.39627332,135.61446714,134.9901589,133.90053906,135.23979158,133.91955344,135.81090514,111.865446,131.84692966,114.36720754,135.76970614,133.8289174,113.3456504,135.27021424,136.51448568,111.74548668,135.69640416,135.02058156,115.6473303,116.7695029,116.60041396,114.1143001,116.59144106,133.70410106,114.32145714
"Osphranter_robustus",136.75599106,112.36936184,135.53868109,135.57687351,137.08825248,117.73032871,133.02012709,114.2438097,116.29382327,115.34697354,121.647714,112.11716301,135.42467231,115.19928655,136.3675498,114.80970079,137.11939783,113.16905766,135.84151482,136.48103439,136.06544933,134.98695904,115.92002976,117.19694479,136.76604471
"Osphranter_rufus",116.366996,110.36970565,134.2363011,138.0858555,139.4106419,136.0339899,114.58810925,139.58969605,134.6347267,114.70248525,112.1485924,114.58810925,135.9334534,106.66919465,139.6657527,114.92047955,138.0858555,139.4106419,114.86291125,134.6347267,137.5947605,110.88759825,134.6347267,116.48982005,137.79960305
"Petrogale_brachyotis",130.28341725,114.4156353,128.46753585,116.85515215,128.46753585,130.02830645,130.28341725,130.28341725,114.4156353,125.25239125,119.3010095,125.25239125,130.28341725,128.4172676,128.4172676,114.4156353,130.02830645,118.6340389,116.85515215,114.4156353,116.85515215,126.2789134,113.15464115,114.4156353,116.85515215
"Petrogale_penicillata",125.646837233333,119.124684766667,117.938760266667,126.840232566667,119.375121833333,119.375121833333,116.3124157,115.471752933333,119.375121833333,115.471752933333,126.720863133333,116.3124157,119.124684766667,125.646837233333,117.938760266667,118.0840898,116.3124157,120.163992933333,123.536919666667,126.890937,116.3124157,115.471752933333,126.720863133333,116.3124157,118.0840898
