"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Aepyprymnus_rufescens",2.75295333325,2.646581805875,2.582871207625,2.862825028,6.05506523475,2.756128548875,3.962672876,3.056779692,2.86676012075,5.593833908,2.568819702,5.593833908,4.819701906125,3.594926839125,5.758844537,2.674066731625,5.654062182375,2.6381002695,2.60686755,3.123161322625,5.726391075375,2.759983438375,5.41653647575,4.39421140625,5.616280832875
"Bettongia_penicillata",8.4420642045,4.37368638025,7.848765728,1.66655284375,5.9290830965,1.89127760225,1.6955717985,1.5572794595,2.01629534175,6.264285325,1.6494435815,1.56848865325,7.64005809975,1.98371052025,1.7759488345,5.122349934,3.54037042625,1.6843092535,7.78170324575,2.984568884,7.9013027135,7.71562079875,7.9021597945,8.11086742275,1.987645613
"Bettongia_tropica",2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985,2.1065185985
"Dasyurus_maculatus",2.437515345,6.70062079525,4.8023905105,2.663474805,6.279763405125,4.84520576925,6.6020234095,6.459459705375,2.68219424825,6.304884153625,4.35432379025,3.34264033875,3.9125340545,6.2926851315,2.477888476,2.597897586,6.497241054875,2.492794621875,6.866219186125,3.613145607125,6.433191212625,2.442969189625,2.396691427375,2.442298527625,4.8302432925
"Dasyurus_viverrinus",7.396061468,1.53374518533333,1.601933724,5.39317750166667,1.84933795966667,1.580232748,1.53374518533333,1.53374518533333,7.38071099233333,1.557778793,2.03268565433333,1.601933724,3.56894298266667,2.21723405633333,6.16209441,5.63264535166667,1.601933724,7.30951890366667,1.70206046133333,4.48552814833333,1.56528715633333,7.38071099233333,7.30951890366667,7.57358804033333,1.703640114
"Dendrolagus_bennettianus",8.120051691,8.910544939,4.2196591715,4.153426775,8.910544939,8.3863415495,4.6750353805,8.910544939,8.514441234,4.1197458425,8.0970259775,4.1197458425,8.120051691,8.0970259775,4.1197458425,8.0970259775,8.120051691,8.3863415495,4.1173763635,4.1173763635,8.0970259775,8.120051691,8.120051691,8.3863415495,4.3722187565
"Dendrolagus_goodfellowi",7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333,7.00939716933333
"Dendrolagus_lumholtzi",4.0067302155,3.98425847675,4.001098943,4.0067302155,5.984411401,4.11049493375,4.82532232825,5.97289854425,4.001098943,4.0067302155,4.0067302155,6.11755633025,4.0067302155,5.0580230415,5.984411401,5.984411401,6.379658025,6.379658025,6.11755633025,3.98307373725,3.98425847675,4.11691954325,5.97289854425,6.11755633025,5.984411401
"Dendrolagus_matschiei",3.684766949,8.430622568,3.6398234715,7.9064191785,7.6171036065,3.673504404,3.6374539925,3.9051456045,3.684766949,3.85837024,3.684766949,8.034518863,8.430622568,3.6398234715,7.9064191785,8.430622568,8.430622568,3.85837024,6.6196100775,7.9064191785,3.684766949,3.9051456045,3.684766949,7.9064191785,7.9064191785
"Dorcopsulus_vanheurni",2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325,2.9315540325
"Hypsiprymnodon_moschatus",3.035582071,1.58322200925,2.56286567225,1.59837449175,3.622398961,2.1354934895,2.10133413825,1.6809073375,1.7402326975,1.7667458765,1.4891011075,1.72946065325,2.83600964175,2.314323467,1.59837449175,2.786613235,2.62751921475,3.68644880325,2.2202103545,1.59837449175,1.941775668,1.4891011075,2.10133413825,1.97109995325,1.6809073375
"Lagorchestes_conspicillatus",3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745,3.359743745
"Lagorchestes_hirsutus",5.6576827388,5.6576827388,5.6576827388,5.5504811306,2.149186356,3.593462313,2.1408536706,5.5511667954,2.1401209158,2.149186356,2.0472493988,2.240484827,2.2324820152,2.2095622322,5.7089226126,5.2257592108,2.0737423574,2.1408536706,5.4992412568,5.2349694962,2.0347248174,5.383515028,5.8673640946,5.7089226126,2.135713983
"Lagostrophus_fasciatus",2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695,2.482015695
