"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Aepyprymnus_rufescens",14.56294375975,8.53873652225,15.31236234725,13.99218153975,7.96095065025,7.2682538345,7.200708724125,15.62073445475,9.337968286125,16.08279903475,14.07066703475,16.74787731225,15.77370244725,9.342224417,10.93246627375,15.10862416975,15.31236234725,14.615285341,7.2027603185,15.05594496475,14.834079451,15.55015684475,7.31742668325,16.49145992975,7.29214390175
"Bettongia_penicillata",6.90960366675,6.821654082,18.6952248835,18.6952248835,6.97215039875,6.803650277,17.8779030935,6.821654082,11.414650926,17.8779030935,12.862504931,6.9793355155,7.03708619525,17.2582609585,16.706942036,18.6952248835,18.8020322535,6.803650277,6.8766047315,17.2611588785,6.928077089,6.8766047315,17.3650683285,19.2080596485,6.84012750425
"Bettongia_tropica",6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405,6.9341657405
"Dasyurus_maculatus",8.328996277375,17.888011395,8.3141154135,22.03477937625,24.57498070125,25.39737211375,24.73301831625,8.305318993875,25.13977019125,8.1881476375,19.3583042875,8.44606066825,21.02971156125,15.274166909625,8.29381209975,23.86341674375,8.17350158225,8.1678574295,21.7607742825,24.62765990625,8.248309449125,8.268294509625,12.8852093565,25.19172491625,24.16487084625
"Dasyurus_viverrinus",15.2608817033333,14.8256454933333,16.1403153733333,9.21727927533333,9.16864297233333,9.15906281666667,9.15906281666667,16.8221631133333,9.14401174266667,18.0543353266667,11.19240532,12.7188613933333,9.402889957,9.49898498733333,16.1403153733333,18.0543353266667,16.8221631133333,16.2807932533333,11.6357512533333,9.47989086333333,16.2807932533333,16.1383834266667,18.0543353266667,9.21727927533333,9.14401174266667
"Dendrolagus_bennettianus",12.5987337535,23.053344435,16.945761985,17.513469665,24.079013965,12.561786909,12.561786909,23.053344435,21.084237535,23.053344435,12.561786909,23.056242355,13.06560559,23.056242355,24.079013965,12.8475873775,23.266959175,12.671688208,12.671688208,13.06560559,23.266959175,12.561786909,12.561786909,23.266959175,23.056242355
"Dendrolagus_goodfellowi",18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333,18.9032514433333
"Dendrolagus_lumholtzi",11.5760137415,23.4382962375,21.34465498,11.65267502075,11.5760137415,11.58319885825,11.521063092,23.4382962375,11.761684127,22.6209744475,22.5156160375,22.5141670775,22.0013323125,11.898092108,12.42629289775,16.5406086775,11.564725436,11.66396332625,22.1081396825,22.2149470525,11.671148443,11.564725436,11.5323513975,22.0013323125,11.7224068695
"Dendrolagus_matschiei",6.5464550175,20.416236585,30.30873558,27.22119299,6.3849260815,6.3849260815,28.24686252,18.11130719,27.43770565,30.09801876,27.64842247,6.5238784065,30.30873558,6.3849260815,30.09801876,27.22409091,6.663342104,28.24686252,7.2105640215,27.22409091,6.260654549,31.12079037,6.3849260815,30.30873558,27.43770565
"Dorcopsulus_vanheurni",17.264993251,12.132812281,6.770537805,6.770537805,10.349663661,17.262095331,18.287764861,6.793114416,20.136023181,20.136023181,6.793114416,6.8074846495,17.262095331,17.475710071,12.631324826,6.793114416,17.262095331,6.8074846495,17.262095331,20.136023181,17.264993251,6.770537805,18.287764861,6.8074846495,6.8074846495
