"Species","Individual","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_FMNH124573",5.312402022,10.22644647,33.08613196,4.476411612,13.78459244,11.26830517,23.03889995,42.05805717,8.71688465,10.72834642,5.961199597,127.4512869,55.49315457,10.49463373,13.75574491,6.211576172,6.979437306,132.9294689,18.62103973,3.439159342,31.61639449,126.6696067,111.18,25.6381773,13.11055627,14.86281121,7.587187558,13.61294932
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM15466",4.31890706,7.489514708,29.31265771,4.119454976,13.78459244,8.82503036,18.26848481,36.01444886,6.501255871,7.97950717,4.609470646,139.6657527,55.49315457,7.448367289,10.02424591,7.36665832,6.66992194,133.1522016,13.97435324,3.948556785,23.77337176,95.09654109,98.78953762,NA,15.10075234,19.8193301,5.314987956,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20152",4.03282329,6.735129396,32.29508618,4.434269372,11.27149848,9.833963501,17.016052,38.99864518,6.965628431,8.174653219,5.474931257,136.0339899,66.94473281,8.113017584,10.90630298,6.630917804,6.115581777,126.8029073,17.39331126,3.065016992,28.31962061,111.6966881,132.646961,NA,10.82775054,14.86281121,9.213135775,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20274",3.542598475,5.150399437,29.31265771,3.981611577,9.109098906,8.043660361,16.50567583,34.65624031,6.352209601,7.667970411,4.857329249,139.5136394,47.18348991,14.88763324,21.35404308,6.837893751,5.669828133,135.7275711,15.98434594,3.527186818,27.82987271,103.053071,132.646961,NA,28.41961236,33.71549248,2.982089857,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM9339",4.51266897,6.557197207,32.04365157,4.870102337,10.59748678,9.691172418,15.74865525,32.909137,5.810538337,7.2457153,4.795541127,129.6037007,66.26749172,6.766592454,9.084837755,6.416555278,6.393284882,136.0399212,12.16416009,3.29098264,23.95475514,98.71455374,90.61,NA,5.257472891,8.060954931,7.115127606,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M2939",5.312402022,10.19409312,33.08613196,2.570470895,12.23373358,12.28790775,15.15219501,57.1899434,25.26911469,21.35518244,11.38509619,139.5136394,49.04061296,12.60377328,16.2821067,9.217708503,8.716424675,134.6397189,12.48524582,3.211424438,20.60248909,102.5092061,132.646961,NA,18.93471799,28.91695487,4.525278475,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M32283",3.878163179,6.291354695,32.04365157,3.895816318,9.902174134,9.773551523,16.05030083,34.6172266,6.754707692,7.704542968,5.390018918,136.6580716,61.9141421,7.345252525,9.683276826,6.11842404,5.669828133,131.878567,12.80148742,2.925633089,25.34140101,102.5092061,96.5,NA,8.125157133,9.762271913,9.213135775,NA
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_MSU-MR4680",9.370923362,33.95913538,25.40233513,6.128447163,35.02580438,17.0846378,16.50567583,63.99612272,23.49978408,27.64842247,18.54030213,127.4512869,51.2413224,15.47814442,19.01254964,18.2416436,26.4660682,131.9233581,15.19594107,3.168783432,28.6532939,103.053071,98.78953762,24.03038122,11.55452253,13.09128808,7.115127606,12.84718807
"Dasyurus_maculatus","Bettongia_penicillata_FMNH-129431",3.116387491,5.118350005,2.402323025,2.822828884,9.289239718,7.413755631,9.422770698,27.53026646,5.758202051,7.184242392,4.233781628,131.5566314,102.3874976,13.20543895,18.11391531,5.472284765,6.2,141.7216637,10.82282291,1.739470864,21.14452201,87.28560633,103.2981182,NA,15.10075234,16.83786842,10.42774658,NA
"Dasyurus_maculatus","Bettongia_penicillata_M27628",3.54100581,4.135630454,3.085700146,1.990072058,9.437557224,8.954371813,12.52149087,28.32710763,5.91046795,7.406415462,4.072079128,129.9788681,108.2628898,6.269822597,8.748903614,5.472284765,5.052616347,131.9055972,11.96138699,1.982907247,22.15948288,79.58308777,101.6829248,19.80585108,9.487531468,9.762271913,4.525278475,10.6257562
