"Species","V2","V3","V4","V5","V6"
"Aepyprymnus_rufescens",6.36432665325,7.33537421925,6.843191568,6.81926584175,6.62630837575
"Bettongia_penicillata",4.71096459325,2.96251675225,2.840147966,4.9510285235,4.753294985
"Bettongia_tropica",3.3706955,3.3706955,3.3706955,3.3706955,3.3706955
"Dasyurus_maculatus",5.74615351425,6.312427040625,5.37828407375,5.454894649375,6.47592313075
"Dasyurus_viverrinus",6.73329291566667,3.065026659,8.96792754733333,9.905468931,3.25258520866667
"Dendrolagus_bennettianus",8.2641876515,4.180073726,9.2094761565,9.2094761565,8.2641876515
"Dendrolagus_goodfellowi",5.79110026433333,5.79110026433333,5.79110026433333,5.79110026433333,5.79110026433333
"Dendrolagus_lumholtzi",4.173035851,4.31117406975,9.303367555,8.9272036975,4.27779101125
"Dendrolagus_matschiei",7.8562526435,4.678204903,7.77159186,4.0299586055,4.0350199925
"Dorcopsulus_vanheurni",7.9174549395,2.8047368615,6.511142864,2.7695096095,2.8047368615
"Hypsiprymnodon_moschatus",6.139398583,5.22061919675,7.11879296725,6.139398583,7.63051401725
"Lagorchestes_conspicillatus",3.689417705,3.9958600075,9.025262438,3.9958600075,8.079973933
"Lagorchestes_hirsutus",5.5598211894,3.5147339582,3.5147339582,3.5026676122,3.5147339582
"Lagostrophus_fasciatus",2.809259108,2.84448636,2.814320495,2.809259108,2.84448636
"Macropus_fuliginosus",6.6238403632,10.1810561696,6.5330931754,6.6556700964,7.8717553666
"Macropus_giganteus",10.459870666,10.4325626631,6.7940978459,6.7491589496,9.5053526723
"Notamacropus_agilis",3.55538811622222,10.3976975747778,3.47184160488889,10.2514483671111,10.9139088622222
"Notamacropus_irma",7.497130552,8.188431398,8.188431398,4.1043174725,8.188431398
"Onychogalea_fraenata",3.97624612175,3.97624612175,3.97624612175,3.97624612175,3.97624612175
"Onychogalea_unguifera",4.050638847,7.3508324245,8.95010529,8.004816785,8.95010529
"Osphranter_antilopinus",3.785079861,11.0443259882,10.85991656,3.6892093868,3.7012757328
"Osphranter_robustus",5.9422307929,6.008265549,10.5062353479,6.0504422131,10.2827808816
"Osphranter_rufus",2.5260707045,11.615812325,11.71151523,2.251167267,11.982629615
"Petrogale_brachyotis",6.3392607845,2.937273269,7.056715112,2.967439134,7.153972997
"Petrogale_penicillata",8.647107199,3.024840895,8.442926292,3.24924634,4.688979128
"Petrogale_persephone",6.868103715,7.614200385,4.07708113966667,4.26126543133333,6.604458997
"Potorous_tridactylus",5.167963361,2.8799011976,2.7452579306,8.2921876712,8.97521682
"Pseudocheirus_peregrinus",4.05154395966667,2.79349923766667,3.72267031933333,3.722175852,2.98165217066667
"Setonix_brachyurus",6.44118273866667,7.25211799866667,3.69151391866667,3.69488817666667,3.69151391866667
"Spilocuscus_maculatus",4.68734380766667,3.95643547933333,6.447483391,7.38502477466667,7.38502477466667
"Thylacinus_cynocephalus",7.923283959,10.409216391,10.517500478875,9.7702246915,10.178233309875
"Thylogale_stigmatica",4.798909011,4.798909011,4.798909011,4.798909011,4.798909011
"Thylogale_thetis",7.48677222466667,3.92954240266667,3.92954240266667,3.92616814466667,3.92954240266667
"Trichosurus_vulpecula",5.08013684883333,6.63604837933333,3.54818233916667,3.56038242316667,3.45654786
"Wallabia_bicolor",4.74219836416667,3.7427458635,3.76594728266667,3.7427458635,3.72263528683333
