Species,femur
Thylacinus_cynocephalus,2.795014049336526
Dasyurus_viverrinus,2.8620806646022086
Dasyurus_maculatus,2.419495061415892
Spilocuscus_maculatus,2.8052715265487547
Trichosurus_vulpecula,2.6928294181727095
Bettongia_tropica,3.1451394660879908
Bettongia_penicillata,3.0269769518040976
Aepyprymnus_rufescens,2.964500393774034
Potorous_tridactylus,2.8583997095021196
Lagostrophus_fasciatus,2.5431174748572585
Petrogale_brachyotis,2.393171020317852
Petrogale_penicillata,2.7931680815025453
Petrogale_persephone,2.6787711081989283
Dendrolagus_bennettianus,2.575661123026013
Dendrolagus_goodfellowi,3.425843896011248
Dendrolagus_matschiei,3.37750030623488
Dendrolagus_lumholtzi,2.980036956736629
Thylogale_stigmatica,3.0406665365408854
Thylogale_thetis,2.863116645662796
Wallabia_bicolor,2.97992142955064
Notamacropus_irma,3.3185034543131
Notamacropus_agilis,3.3332426169497866
Osphranter_rufus,3.717838079562119
Osphranter_robustus,2.8457662572961304
Osphranter_antilopinus,2.960623829566332
Macropus_fuliginosus,2.973468605642112
Macropus_giganteus,2.764446526118196
Lagorchestes_conspicillatus,2.0311112743728805
Lagorchestes_hirsutus,2.884800705506007
Setonix_brachyurus,2.4375886052518876
Onychogalea_unguifera,3.0509074708370587
Onychogalea_fraenata,2.9906350502556185
Dorcopsulus_vanheurni,3.0491189181792566
Hypsiprymnodon_moschatus,2.5621533252810735
Pseudocheirus_peregrinus,2.940636528014706
'14',2.6560086494233697
'25',2.7644047294231138
'37',3.143255971678065
'36',3.054212397447344
'35',3.1083782984165387
'34',2.7339435227028557
'33',3.479182071185783
'51',3.2228419881387813
'57',2.969400269511514
'56',3.32512109330017
'63',2.9401363761590975
'73',3.043145802572967
'84',2.6296836036217557
'82',2.992421592627335
'13',NaN
'43',2.5615752604025688
'50',2.8565840326323433
'48',4.28059928782574
'47',3.279268491897669
'49',1.6699999999999946
'68',3.7167809333324384
'60',1.8975236431203504
'72',4.816627247199042
'87',3.6036034342550542
'83',6.333408674251185
'80',7.320000000000016
'79',2.6577228674127094
'94',2.854795099013185
'92',2.682222158661366
'78',2.8891581018828987
'98',2.724759224550338
'97',2.740763419425526
'77',2.4148964501221815
Node 69,NaN
