"Species","V2","V3","V4","V5","V6"
"Aepyprymnus_rufescens",13.84392092725,13.901795205,35.15239240875,13.2499943985,26.64855394
"Bettongia_penicillata",9.7444423325,38.6115683645,36.9186142595,35.7450513695,9.8789704545
"Bettongia_tropica",11.54600294,11.54600294,11.54600294,11.54600294,11.54600294
"Dasyurus_maculatus",24.56722816675,10.3406608865,10.9409488105,52.3520688875,10.207188969
"Dasyurus_viverrinus",28.47440257,27.9715445866667,24.12655777,10.408864566,28.47440257
"Dendrolagus_bennettianus",50.41243208,22.197395895,50.41243208,53.832786525,23.79389368
"Dendrolagus_goodfellowi",34.1831897433333,34.1831897433333,34.1831897433333,34.1831897433333,34.1831897433333
"Dendrolagus_lumholtzi",45.6481090525,18.2927160235,44.85168965,48.0953501325,18.851080613
"Dendrolagus_matschiei",10.144032524,57.09761751,66.28545218,67.039739155,67.039739155
"Dorcopsulus_vanheurni",42.56854378,45.988898225,16.033909255,45.95445199,29.04448555
"Hypsiprymnodon_moschatus",35.7454214325,8.1571816895,42.857466385,23.042349045,34.6862025725
"Lagorchestes_conspicillatus",15.20245856,13.364467555,44.96541195,44.96541195,13.364467555
"Lagorchestes_hirsutus",43.3277732,43.743286172,28.598593058,11.879554346,10.8567353536
"Lagostrophus_fasciatus",9.820355494,10.21794029,8.703626315,40.30457071,8.914338677
"Macropus_fuliginosus",58.918418934,15.6439661952,58.616704144,60.300339206,59.984845922
"Macropus_giganteus",61.273778892,22.2556719034,21.660271363,21.4457089464,60.1133936
"Notamacropus_agilis",18.3606885986667,51.7693103255556,56.5573046733333,53.9786706911111,52.5931188166667
"Notamacropus_irma",48.551818235,17.127139967,38.60969659,18.753315935,18.51292539
"Onychogalea_fraenata",44.023889935,45.7340671575,15.71239743,15.0195047185,43.6467464475
"Onychogalea_unguifera",14.70765057,14.70765057,42.16839978,14.918362932,42.922686755
"Osphranter_antilopinus",65.087546176,19.6120290204,64.987526488,19.3687101572,19.452995102
"Osphranter_robustus",20.1256948708,61.650800259,64.427217505,62.804296304,20.9185356062
"Osphranter_rufus",10.707705005,39.941432149,62.865097735,8.785810125,9.065145552
"Petrogale_brachyotis",14.75446106,14.75446106,12.916470055,14.033199234,41.13150624
"Petrogale_penicillata",17.4263187013333,38.3531400566667,36.0958679166667,36.0958679166667,18.39592436
"Petrogale_persephone",36.51968194,22.1979775246667,23.1218344733333,40.3646687566667,43.12479888
"Potorous_tridactylus",33.002490736,18.5156406908,11.131243004,10.0417059052,15.388671866
"Pseudocheirus_peregrinus",47.2300717913333,17.877219814,12.2835977393333,13.3574692373333,7.329787248
"Setonix_brachyurus",10.4226945393333,25.8292513833333,10.1417447233333,12.2704084366667,39.06610337
"Spilocuscus_maculatus",13.25107865,10.3979643466667,11.51823212,12.39215599,29.20798847
"Thylacinus_cynocephalus",52.9391499375,45.48980003125,44.95641058875,17.7465033405,32.75396858125
"Thylogale_stigmatica",20.474961222,51.865193255,47.72499807,21.860746645,47.72499807
"Thylogale_thetis",29.6168616266667,29.6168616266667,29.6168616266667,29.6168616266667,29.6168616266667
"Trichosurus_vulpecula",19.1935325016667,10.9144869166667,24.8174221716667,21.51885206,11.4969218033333
"Wallabia_bicolor",20.396855115,48.9258037966667,50.065921945,49.8144929533333,48.6858568833333
