Species,mean
Aepyprymnus_rufescens,4.598005476
Bettongia_penicillata,3.378267442
Bettongia_tropica,3.3706955
Dasyurus_maculatus,6.275487665
Dasyurus_viverrinus,4.712967713
Dendrolagus_bennettianus,5.047999513
Dendrolagus_goodfellowi,5.791100264
Dendrolagus_lumholtzi,7.378697546
Dendrolagus_matschiei,7.75299596
Dorcopsulus_vanheurni,6.715369217
Hypsiprymnodon_moschatus,3.436907981
Lagorchestes_conspicillatus,6.142444308
Lagorchestes_hirsutus,4.602273893
Lagostrophus_fasciatus,6.166390706
Macropus_fuliginosus,8.691453743
Macropus_giganteus,7.619658521
Notamacropus_agilis,5.128475303
Notamacropus_irma,6.580453483
Onychogalea_fraenata,3.976246122
Onychogalea_unguifera,4.506104904
Osphranter_antilopinus,9.666320626
Osphranter_robustus,9.64280326
Osphranter_rufus,8.055076964
Petrogale_brachyotis,3.672820111
Petrogale_persephone,5.904402742
Potorous_tridactylus,4.838093603
Pseudocheirus_peregrinus,2.714404003
Setonix_brachyurus,5.63283166
Spilocuscus_maculatus,5.497117264
Thylacinus_cynocephalus,9.206493161
Thylogale_stigmatica,4.798909011
Thylogale_thetis,5.528223374
Trichosurus_vulpecula,4.48876216
Wallabia_bicolor,7.457416717
