"Species","V2","V3","V4","V5","V6"
"Aepyprymnus_rufescens",9.75347819725,10.356735580875,10.273781785875,9.487417772125,4.57566770575
"Bettongia_penicillata",3.91185539025,10.6285413115,4.173945172,7.45469131825,7.37477240175
"Bettongia_tropica",4.346426599,4.346426599,4.346426599,4.346426599,4.346426599
"Dasyurus_maculatus",4.94509157425,5.621748557125,4.83452507625,7.652964212625,12.409817791625
"Dasyurus_viverrinus",11.876832584,7.10484337966667,11.876832584,7.672707264,5.68963107666667
"Dendrolagus_bennettianus",14.897643665,14.897643665,15.340863045,15.58997302,11.42037243
"Dendrolagus_goodfellowi",11.1776366666667,11.1776366666667,11.1776366666667,11.1776366666667,11.1776366666667
"Dendrolagus_lumholtzi",14.7220715985,13.0906708185,13.307613226,15.068236276,5.9322150175
"Dendrolagus_matschiei",19.92496084,18.106417315,18.54030213,19.42674089,3.821710971
"Dorcopsulus_vanheurni",4.686224118,4.8436134545,4.8500722225,4.8436134545,5.830673486
"Hypsiprymnodon_moschatus",11.57190060575,6.97649191675,11.22573592825,9.31496348325,5.08995152375
"Lagorchestes_conspicillatus",4.3588912105,12.2360903015,12.2360903015,4.3588912105,12.5679054815
"Lagorchestes_hirsutus",4.1699521314,14.3027705714,13.1381217914,14.5466202314,4.1044128896
"Lagostrophus_fasciatus",4.1753901445,5.688150993,4.6623052225,11.100800909,4.300574223
"Macropus_fuliginosus",19.081474552,18.259921678,17.561852524,7.8559437652,16.321645908
"Macropus_giganteus",8.13361335,19.367519143,19.844658616,10.952927475,19.866939456
"Notamacropus_agilis",18.091022884,18.830386594,18.1527582106667,17.9925296884444,17.8070554917778
"Notamacropus_irma",13.276940044,5.4808838525,12.833720664,5.4808838525,5.3607590015
"Onychogalea_fraenata",5.86295666175,13.481203997,15.0615699595,5.827985247,6.0668354085
"Onychogalea_unguifera",12.9941607475,5.191645788,5.077979705,5.0342564515,12.9941607475
"Osphranter_antilopinus",20.447581744,19.415659036,21.534586762,20.369937982,14.402681246
"Osphranter_robustus",19.687969602,20.392218822,19.557110443,19.28156613,6.7165076749
"Osphranter_rufus",24.19813562,19.344035685,3.5506555515,17.18685745,3.9468950495
"Petrogale_brachyotis",15.522684144,13.136986779,15.522684144,5.3344718195,13.136986779
"Petrogale_penicillata",6.570943483,11.634027267,6.81209748266667,11.3936844836667,11.855237387
"Petrogale_persephone",12.817549456,12.596339336,12.596339336,7.34487327533333,7.533255552
"Potorous_tridactylus",8.1077778454,6.7205080352,10.5910841376,4.5520310002,7.8355180102
"Pseudocheirus_peregrinus",15.760392357,3.67015619366667,3.67015619366667,11.0374947236667,6.308126185
"Setonix_brachyurus",4.29658553033333,4.29658553033333,4.18304761533333,17.872256939,15.697055899
"Spilocuscus_maculatus",5.96504530333333,11.216511364,7.82759063033333,6.20732841333333,8.66881477066667
"Thylacinus_cynocephalus",19.4100745025,16.913385625,17.5846661225,15.65436689275,16.45212557625
"Thylogale_stigmatica",6.5105221855,6.5040634175,13.863358997,14.555688352,10.191452122
"Thylogale_thetis",8.25965744233333,8.25965744233333,8.25965744233333,8.25965744233333,8.25965744233333
"Trichosurus_vulpecula",10.0111126163333,6.98895585883333,11.9600219763333,11.3125293146667,12.190798428
"Wallabia_bicolor",14.774101119,6.97350588966667,12.9953096948333,14.884706179,14.9218409123333
