"Species","mean"
"Aepyprymnus_rufescens",6.7976933316
"Bettongia_penicillata",4.043590564
"Bettongia_tropica",3.3706955
"Dasyurus_maculatus",5.87353648175
"Dasyurus_viverrinus",6.38486025233333
"Dendrolagus_bennettianus",7.8254802684
"Dendrolagus_goodfellowi",5.79110026433333
"Dendrolagus_lumholtzi",6.1985144369
"Dendrolagus_matschiei",5.6742056009
"Dorcopsulus_vanheurni",4.5615162272
"Hypsiprymnodon_moschatus",6.44974466945
"Lagorchestes_conspicillatus",5.7572748182
"Lagorchestes_hirsutus",3.92133813524
"Lagostrophus_fasciatus",2.8243622862
"Macropus_fuliginosus",7.57308303424
"Macropus_giganteus",8.78820855938
"Notamacropus_agilis",7.71805690504444
"Notamacropus_irma",7.2333484437
"Onychogalea_fraenata",3.97624612175
"Onychogalea_unguifera",7.4612997273
"Osphranter_antilopinus",6.61596150576
"Osphranter_robustus",7.7579909569
"Osphranter_rufus",8.0174390283
"Petrogale_brachyotis",5.2909322593
"Petrogale_penicillata",5.6106199708
"Petrogale_persephone",5.8850219336
"Potorous_tridactylus",5.61210539608
"Pseudocheirus_peregrinus",3.45430830786667
"Setonix_brachyurus",4.95424335026667
"Spilocuscus_maculatus",5.97226244546667
"Thylacinus_cynocephalus",9.75969176605
"Thylogale_stigmatica",4.798909011
"Thylogale_thetis",4.64031351546667
"Trichosurus_vulpecula",4.4562595701
"Wallabia_bicolor",3.94325453213333
