Species,Iter1,Iter2,Iter3,Iter4,Iter5
Aepyprymnus_rufescens,7.362438917,7.362438917,7.362438917,7.362438917,7.362438917
Bettongia_penicillata,9.487531468,9.487531468,9.487531468,9.487531468,9.487531468
Bettongia_tropica,3.929842994,3.929842994,3.929842994,3.929842994,3.929842994
Dasyurus_maculatus,5.257472891,5.257472891,5.257472891,5.257472891,5.257472891
Dasyurus_viverrinus,5.257472891,5.257472891,5.257472891,5.257472891,5.257472891
Dendrolagus_bennettianus,30.1859681,30.1859681,30.1859681,30.1859681,30.1859681
Dendrolagus_goodfellowi,30.1859681,30.1859681,30.1859681,30.1859681,30.1859681
Dendrolagus_lumholtzi,25.66067338,25.66067338,25.66067338,25.66067338,25.66067338
Dendrolagus_matschiei,30.1859681,30.1859681,30.1859681,30.1859681,30.1859681
Dorcopsulus_vanheurni,28.41961236,28.41961236,28.41961236,28.41961236,28.41961236
Hypsiprymnodon_moschatus,5.257472891,5.257472891,5.257472891,5.257472891,5.257472891
Lagorchestes_conspicillatus,7.362438917,7.362438917,7.362438917,7.362438917,7.362438917
Lagorchestes_hirsutus,7.362438917,7.362438917,7.362438917,7.362438917,7.362438917
Lagostrophus_fasciatus,7.972295169,7.972295169,7.972295169,7.972295169,7.972295169
Macropus_fuliginosus,6.877352998,6.877352998,6.877352998,6.877352998,6.877352998
Macropus_giganteus,18.93471799,18.93471799,18.93471799,18.93471799,18.93471799
Notamacropus_agilis,12.49990496,12.49990496,12.49990496,12.49990496,12.49990496
Notamacropus_irma,3.929842994,3.929842994,3.929842994,3.929842994,3.929842994
Onychogalea_fraenata,31.00688331,31.00688331,31.00688331,31.00688331,31.00688331
Onychogalea_unguifera,15.56049875,15.56049875,15.56049875,15.56049875,15.56049875
Osphranter_antilopinus,24.39187028,24.39187028,24.39187028,24.39187028,24.39187028
Osphranter_robustus,28.22022026,28.22022026,28.22022026,28.22022026,28.22022026
Osphranter_rufus,32.19272348,32.19272348,32.19272348,32.19272348,32.19272348
Petrogale_brachyotis,34.33083401,34.33083401,34.33083401,34.33083401,34.33083401
Petrogale_penicillata,13.96213756,13.96213756,13.96213756,13.96213756,13.96213756
Petrogale_persephone,34.33083401,34.33083401,34.33083401,34.33083401,34.33083401
Potorous_tridactylus,7.972295169,7.972295169,7.972295169,7.972295169,7.972295169
Pseudocheirus_peregrinus,3.929842994,3.929842994,3.929842994,3.929842994,3.929842994
Setonix_brachyurus,17.48721207,17.48721207,17.48721207,17.48721207,17.48721207
Spilocuscus_maculatus,7.362438917,7.362438917,7.362438917,7.362438917,7.362438917
Thylacinus_cynocephalus,30.1859681,30.1859681,30.1859681,30.1859681,30.1859681
Thylogale_stigmatica,30.1859681,30.1859681,30.1859681,30.1859681,30.1859681
Thylogale_thetis,15.10075234,15.10075234,15.10075234,15.10075234,15.10075234
Trichosurus_vulpecula,7.362438917,7.362438917,7.362438917,7.362438917,7.362438917
