Species,Iter1,Iter2,Iter3,Iter4,Iter5
Aepyprymnus_rufescens,166.86,166.86,166.86,166.86,166.86
Bettongia_penicillata,101.6829248,101.6829248,101.6829248,101.6829248,101.6829248
Bettongia_tropica,108.78,108.78,108.78,108.78,108.78
Dasyurus_maculatus,281.9,281.9,281.9,281.9,281.9
Dasyurus_viverrinus,520.4068969,520.4068969,520.4068969,520.4068969,520.4068969
Dendrolagus_bennettianus,520.4068969,520.4068969,520.4068969,520.4068969,520.4068969
Dendrolagus_goodfellowi,139.04,139.04,139.04,139.04,139.04
Dendrolagus_lumholtzi,115.65,115.65,115.65,115.65,115.65
Dendrolagus_matschiei,181.22,181.22,181.22,181.22,181.22
Dorcopsulus_vanheurni,281.9,281.9,281.9,281.9,281.9
Hypsiprymnodon_moschatus,85.36,85.36,85.36,85.36,85.36
Lagorchestes_conspicillatus,166.86,166.86,166.86,166.86,166.86
Lagorchestes_hirsutus,228.0,228.0,228.0,228.0,228.0
Lagostrophus_fasciatus,85.36,85.36,85.36,85.36,85.36
Macropus_fuliginosus,273.0,273.0,273.0,273.0,273.0
Macropus_giganteus,228.0,228.0,228.0,228.0,228.0
Notamacropus_agilis,454.3138412,454.3138412,454.3138412,454.3138412,454.3138412
Notamacropus_irma,177.37,177.37,177.37,177.37,177.37
Onychogalea_fraenata,115.65,115.65,115.65,115.65,115.65
Onychogalea_unguifera,281.9,281.9,281.9,281.9,281.9
Osphranter_antilopinus,281.9,281.9,281.9,281.9,281.9
Osphranter_robustus,237.4072831,237.4072831,237.4072831,237.4072831,237.4072831
Osphranter_rufus,544.1005358,544.1005358,544.1005358,544.1005358,544.1005358
Petrogale_brachyotis,88.10640463,88.10640463,88.10640463,88.10640463,88.10640463
Petrogale_penicillata,177.37,177.37,177.37,177.37,177.37
Petrogale_persephone,273.0,273.0,273.0,273.0,273.0
Potorous_tridactylus,185.5748891,185.5748891,185.5748891,185.5748891,185.5748891
Pseudocheirus_peregrinus,273.0,273.0,273.0,273.0,273.0
Setonix_brachyurus,418.3399165,418.3399165,418.3399165,418.3399165,418.3399165
Spilocuscus_maculatus,88.10640463,88.10640463,88.10640463,88.10640463,88.10640463
Thylacinus_cynocephalus,273.0,273.0,273.0,273.0,273.0
Thylogale_stigmatica,177.37,177.37,177.37,177.37,177.37
Thylogale_thetis,177.37,177.37,177.37,177.37,177.37
Trichosurus_vulpecula,175.04,175.04,175.04,175.04,175.04
Wallabia_bicolor,185.5748891,185.5748891,185.5748891,185.5748891,185.5748891
'14',402.39926877242095,398.2848738773767,400.5140080874786,400.97416580651554,400.97424062714373
'25',135.4555399394789,137.64789152809954,128.80626753515728,133.05485684535228,138.22465978689607
'37',103.22495008034646,105.16116705141357,108.01187662944224,106.61110305701584,104.78633832178137
'36',130.1358571632544,130.0557691174969,130.09736701430498,127.52998756544353,127.0073528764634
'35',142.68253099744393,142.76156909964092,139.64758243545705,140.6407467993718,139.8910651294256
'34',222.27452436031137,224.854254400662,226.60141642752873,224.28574573458104,227.6703002379649
'33',159.3105528816386,163.11821231442295,160.4004357305584,159.41971854002446,161.60266189669335
'51',141.7122710422955,145.73419925545787,143.37248754393985,144.2200177212859,145.62837603514407
'57',176.3960912542452,179.54592504396916,178.8419035664195,179.00693661785346,176.0264646654024
'56',313.78480210674144,315.31161065072524,316.26510183886097,317.44585898001577,317.54294815737876
'63',260.47810206869525,259.50244169483017,260.13809528351555,260.8954165984305,258.7925467409201
'73',251.36792873875387,250.76842898911363,248.4688603703164,250.9280409511318,247.4112269073758
'84',197.5784125332616,198.16667281600226,196.3044334189047,198.01393411684353,198.72847778020622
'82',198.02106952390992,198.48596220456747,198.24008442934405,198.27213473415765,198.621782643266
'13',341.00567782058584,334.88316991657683,344.14111454953655,336.6625446605249,338.5765761550713
'43',214.34652322477922,216.15872020595478,217.51279001666015,214.50992595678343,219.0564758487363
'50',194.9483779543265,198.20530116890274,198.63251945711434,197.44410036711815,198.89536227894473
'48',293.98375438143785,295.7310665028238,295.61859617178806,297.01193210358514,296.03377291253224
'47',333.9747025860351,332.901494296054,333.9049751836381,334.38016007280413,332.9385796259597
'49',194.9483779543265,198.20530116890274,198.63251945711434,197.44410036711815,198.89536227894473
'68',301.17806572656093,302.7784849790526,303.48415499339757,302.75000861492356,301.83117831536464
'60',187.98960496392823,190.39769531953593,189.85552435696147,189.75050536708937,190.1498767951036
'72',298.11792296296466,297.59123141681243,298.4243683485285,299.09901202177633,296.1062674105357
'87',281.8119278860271,281.00801359335134,281.557157685642,282.45252867297006,280.9624408944253
'83',288.296560418752,286.56346975286675,287.48626173084995,288.60336830362553,287.49397720304466
'80',288.296560418752,286.56346975286675,287.48626173084995,288.60336830362553,287.49397720304466
'79',229.48942791321937,229.33503573161963,230.16877830630582,231.4092602880904,229.50137051395228
'94',231.0527857576643,232.96232883169648,235.2381357006356,235.05744830207254,232.2340809298171
'92',186.92331289492023,188.474669405551,194.64655553665426,189.26022315898192,187.95132189198597
'78',175.009263370307,175.55524802948008,180.46817578735553,175.07242972958815,173.6565835331171
'98',151.83812533501072,155.66907116326522,155.5283290251385,148.1342098835078,150.79501230955955
'97',143.24075366549553,151.24853818889403,149.12487621593363,145.56441926594744,149.0241194404941
'77',149.0670348277021,156.94103708659088,157.55416574182814,150.67178322455194,151.22775720875555
Node 69,215.53858902735567,218.83267295931444,222.11630149288231,223.05274296584776,217.63028516683738
