Species,Iter1,Iter2,Iter3,Iter4,Iter5
Aepyprymnus_rufescens,6.11842404,6.11842404,6.11842404,6.11842404,6.11842404
Bettongia_penicillata,2.570418001,2.570418001,2.570418001,2.570418001,2.570418001
Bettongia_tropica,4.790140511,4.790140511,4.790140511,4.790140511,4.790140511
Dasyurus_maculatus,10.00396505,10.00396505,10.00396505,10.00396505,10.00396505
Dasyurus_viverrinus,7.38,7.38,7.38,7.38,7.38
Dendrolagus_bennettianus,9.217708503,9.217708503,9.217708503,9.217708503,9.217708503
Dendrolagus_goodfellowi,10.02540225,10.02540225,10.02540225,10.02540225,10.02540225
Dendrolagus_lumholtzi,8.730330684,8.730330684,8.730330684,8.730330684,8.730330684
Dendrolagus_matschiei,23.63579345,23.63579345,23.63579345,23.63579345,23.63579345
Dorcopsulus_vanheurni,6.443469184,6.443469184,6.443469184,6.443469184,6.443469184
Hypsiprymnodon_moschatus,13.73805128,13.73805128,13.73805128,13.73805128,13.73805128
Lagorchestes_conspicillatus,6.054158757,6.054158757,6.054158757,6.054158757,6.054158757
Lagorchestes_hirsutus,18.90975431,18.90975431,18.90975431,18.90975431,18.90975431
Lagostrophus_fasciatus,5.038605485,5.038605485,5.038605485,5.038605485,5.038605485
Macropus_fuliginosus,2.570418001,2.570418001,2.570418001,2.570418001,2.570418001
Macropus_giganteus,23.93685931,23.93685931,23.93685931,23.93685931,23.93685931
Notamacropus_agilis,17.70979082,17.70979082,17.70979082,17.70979082,17.70979082
Notamacropus_irma,7.88,7.88,7.88,7.88,7.88
Onychogalea_fraenata,11.16657472,11.16657472,11.16657472,11.16657472,11.16657472
Onychogalea_unguifera,7.21701533,7.21701533,7.21701533,7.21701533,7.21701533
Osphranter_antilopinus,23.63579345,23.63579345,23.63579345,23.63579345,23.63579345
Osphranter_robustus,4.514611226,4.514611226,4.514611226,4.514611226,4.514611226
Osphranter_rufus,18.2416436,18.2416436,18.2416436,18.2416436,18.2416436
Petrogale_brachyotis,6.152104755,6.152104755,6.152104755,6.152104755,6.152104755
Petrogale_penicillata,8.709640072,8.709640072,8.709640072,8.709640072,8.709640072
Petrogale_persephone,4.985525818,4.985525818,4.985525818,4.985525818,4.985525818
Potorous_tridactylus,6.282591241,6.282591241,6.282591241,6.282591241,6.282591241
Pseudocheirus_peregrinus,8.182451128,8.182451128,8.182451128,8.182451128,8.182451128
Setonix_brachyurus,2.570418001,2.570418001,2.570418001,2.570418001,2.570418001
Spilocuscus_maculatus,18.90975431,18.90975431,18.90975431,18.90975431,18.90975431
Thylacinus_cynocephalus,17.16120261,17.16120261,17.16120261,17.16120261,17.16120261
Thylogale_stigmatica,9.85947268,9.85947268,9.85947268,9.85947268,9.85947268
Thylogale_thetis,9.701461576,9.701461576,9.701461576,9.701461576,9.701461576
Trichosurus_vulpecula,6.25751364,6.25751364,6.25751364,6.25751364,6.25751364
Wallabia_bicolor,15.69492431,15.69492431,15.69492431,15.69492431,15.69492431
'14',10.177516770093348,8.042847003082787,8.453456293649587,5.847741148450854,8.725758627229323
'25',9.402771998900375,13.738489109112916,20.992030679987614,16.034413449150314,15.21744164182648
'37',5.046766907139821,3.5898839731348655,3.928694704342174,3.1354727838526846,2.258119247062077
'36',7.380162418922551,5.060970884116367,3.047061521380032,5.0045338703341455,5.427696700062111
'35',5.330762260423463,7.343318456727904,3.6589439972178903,4.947008288835961,7.3294161042521715
'34',6.367914880638441,6.674293509161393,3.377065339417744,5.712820542704296,9.659489293504997
'33',15.38129369479081,15.558252709782002,18.552562935411405,17.481254176077837,18.6628695323413
'51',10.424868612351558,15.780060744824485,15.396337496517722,11.613200790197824,15.056797619724197
'57',11.462795956816025,9.601946395719533,11.8128487062027,9.510165081497268,9.979694713976205
'56',13.030713799380889,11.818837811994221,14.228692770445265,13.078138536160811,9.445952387513726
'63',13.036521076269336,13.63389484175162,12.980206595452803,13.581089526858468,14.750108784580156
'73',12.077775393579113,12.531863736106237,13.816943635356838,13.365611763087195,12.159578539463888
'84',13.224449410823839,12.204991411981396,10.705541737938347,12.41768491735394,11.849433253339345
'82',8.373253018582055,8.416174245770334,8.772260446942614,9.379113358014457,9.101091304539862
'13',12.428060108194042,13.658501724217057,7.219888701494946,14.943501437244072,13.621370959470932
'43',5.986531702185431,6.210973226584251,2.473495473462174,6.683016338914737,10.40856902440385
'50',10.017546684594844,14.68296712775099,13.913020555937896,11.145759914654011,12.84683523895454
'48',12.354596052006926,13.50539588571706,15.931661091791778,14.431548127615727,11.057199863190739
'47',13.682659434748048,14.71545480551534,13.576931664802304,14.604589140429963,15.076813010859647
'49',10.017546684594844,14.68296712775099,13.913020555937896,11.145759914654011,12.84683523895454
'68',12.47378117992655,12.751901937757419,16.502275411940982,13.30208813658253,12.0161239139766
'60',10.39832793032716,11.682098094076487,12.549344645842396,10.339631882324033,11.157512140797914
'72',13.206848675915605,11.804858522031966,16.28928370239228,13.257386340703874,11.10889305641814
'87',12.588211375312921,10.071758604905812,15.596812961662048,12.746495556873716,12.141802926195016
'83',12.113595104270697,10.00526557271869,13.308524586372974,11.497295673782965,11.30515496990587
'80',12.113595104270697,10.00526557271869,13.308524586372974,11.497295673782965,11.30515496990587
'79',10.605814487938908,10.720415973594811,11.74215593559954,10.466847706340126,11.105296185271863
'94',9.00330206200143,11.03329754095894,11.233376335721452,9.411314316876624,9.465424754073869
'92',12.65596756327744,5.292846678455119,10.205326834949226,4.033166980902819,11.398879082224735
'78',7.126584978121292,3.850505100067386,6.429962870116926,4.812851130110691,9.50115831489145
'98',9.626673837790708,6.136688107322051,10.240149270486775,6.404624681768296,10.2282864249548
'97',11.700800739663112,8.763095039691336,14.449015025243341,7.623374830092473,13.123196651488428
'77',11.988902605768558,10.613202496699632,16.28091938404803,11.209115911211514,12.652517855234944
Node 69,13.932180780044648,16.255853684568606,9.761773353113888,12.203558721701958,6.269696936938096
