"Species","Individual","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_FMNH124573",5.312402022,10.19409312,32.29508618,5.192507286,13.09452626,9.728074407,22.58532298,36.49172501,9.753220061,11.01679462,9.882168007,107.9301888,34.39413929,5.757751219,7.317594272,2.570418001,5.669828133,124.9868291,16.6479138,3.81191938,28.03383602,114.93,454.3138412,25.6381773,13.11055627,14.86281121,7.587187558,13.61294932
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM15466",4.31890706,7.489514708,30.63019396,4.119454976,13.78459244,8.82503036,18.26848481,36.01444886,6.501255871,7.97950717,4.609470646,139.6657527,55.49315457,7.448367289,10.02424591,7.36665832,6.66992194,133.1522016,13.97435324,3.948556785,24.37252616,97.57974597,544.1005358,34.61497248,12.49990496,23.08058869,19.01691245,30.56859475
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20152",4.03282329,6.735129396,32.29508618,4.434269372,11.27149848,9.833963501,17.016052,38.99864518,6.965628431,8.174653219,5.474931257,136.0339899,66.94473281,8.113017584,10.90630298,6.630917804,6.115581777,126.8029073,17.39331126,3.065016992,28.31962061,111.6966881,544.1005358,37.39433529,15.10075234,21.51496549,16.95610184,22.93929417
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM20274",3.542598475,5.150399437,29.31265771,3.981611577,9.109098906,8.043660361,16.50567583,34.65624031,6.352209601,7.667970411,4.857329249,139.5136394,47.18348991,5.797370259,8.767859481,4.625537792,6.542683451,130.5078937,16.12463982,3.13757566,32.85791607,126.7663885,544.1005358,37.39433529,8.125157133,10.8634889,5.835271588,19.7719785
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_JM9339",4.51266897,6.557197207,40.72547165,4.870102337,10.59748678,9.691172418,15.74865525,32.909137,5.810538337,7.2457153,4.795541127,129.6037007,66.26749172,6.766592454,9.084837755,6.416555278,6.393284882,136.0399212,12.16416009,3.29098264,19.32046724,95.09654109,62.74,40.49706004,5.257472891,5.245814495,3.506876373,16.17247432
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M2939",2.735581025,4.258437628,23.01169769,4.476411612,7.534244769,7.413755631,21.62931909,27.53026646,8.651688214,8.394632623,9.433119249,105.4082005,34.39413929,5.452851079,8.10485108,2.570418001,4.919294637,132.0233499,13.97435324,3.29098264,24.51427662,97.57974597,132.646961,34.61497248,6.877352998,5.853643819,5.314987956,22.93929417
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_M32283",3.878163179,6.291354695,32.04365157,3.895816318,9.902174134,9.773551523,16.05030083,34.6172266,6.754707692,7.704542968,5.390018918,136.6580716,61.9141421,7.345252525,9.683276826,6.11842404,5.669828133,131.878567,12.80148742,2.925633089,25.34140101,102.5092061,544.1005358,37.39433529,15.10075234,18.21699533,11.15606354,16.17247432
"Thylacinus_cynocephalus","Aepyprymnus_rufescens_MSU-MR4680",4.03282329,7.335170706,31.32468748,5.906253475,8.962726794,10.58914872,16.04660949,27.53026646,6.754707692,7.704542968,8.3388158,117.6218763,33.52720256,5.797370259,8.10485108,3.104920646,4.816762675,126.6454817,15.19594107,3.168783432,28.6532939,103.053071,454.3138412,24.03038122,11.55452253,13.09128808,7.115127606,12.84718807
"Dasyurus_maculatus","Bettongia_penicillata_FMNH-129431",3.116387491,5.118350005,2.402323025,2.822828884,9.289239718,7.413755631,9.422770698,27.53026646,5.758202051,7.184242392,4.233781628,131.5566314,102.3874976,6.269822597,7.774336531,4.625537792,4.816762675,128.8427767,13.86629706,1.362987257,27.82987271,82.33751626,103.2981182,49.82129884,7.362438917,9.66630652,9.213135775,22.93929417
"Dasyurus_maculatus","Bettongia_penicillata_M27628",4.529858775,6.830368756,14.60326059,3.052985403,10.3885435,8.605591754,12.52149087,28.32710763,5.91046795,7.406415462,4.072079128,129.9788681,108.2628898,6.269822597,8.748903614,5.472284765,5.052616347,131.9055972,11.96138699,1.982907247,22.15948288,79.58308777,101.6829248,19.80585108,9.487531468,9.762271913,4.525278475,10.6257562
"Dasyurus_maculatus","Bettongia_penicillata_M27943",2.869113259,5.009651174,2.782504214,2.034000772,8.470054614,7.392063472,7.18931234,26.82656744,4.913100691,8.133475841,3.506932298,129.6037007,109.9150135,6.32301148,7.416505085,2.570418001,5.514720081,125.1311953,12.16416009,1.362987257,24.75628159,77.43472265,454.3138412,30.91784562,12.49990496,13.09128808,10.84789975,22.93929417
"Dasyurus_maculatus","Bettongia_penicillata_NHMUK-1850.11.22.47",3.128985234,5.402854133,3.085700146,3.052985403,8.853739927,6.899224784,10.55011566,28.0075136,5.91046795,7.302997672,4.233781628,125.7464092,109.9150135,6.445182389,8.785902187,3.104920646,5.052616347,126.8029073,13.97435324,1.893631523,22.75753828,72.11513679,71.54595719,34.61497248,7.972295169,9.66630652,9.213135775,19.7719785
"Dasyurus_maculatus","Bettongia_tropica_JM15255",3.20038519,4.981114258,37.63570378,1.990072058,9.353110736,7.949837588,10.51955404,29.41023638,5.24821503,6.457880536,3.834628507,127.4512869,50.79777992,5.797370259,8.496651286,5.873819886,4.816762675,133.0710561,11.65754165,1.739470864,20.09921444,85.94205176,104.56,40.49706004,9.487531468,13.09128808,23.65930524,19.7719785
"Dasyurus_maculatus","Bettongia_tropica_M41240",3.54100581,5.181625849,25.40233513,2.277804344,8.962726794,8.954371813,12.57245184,29.21095371,6.420092612,7.410450945,4.858224691,129.8851194,54.54255065,6.571889073,9.276311236,4.790140511,5.374569303,133.0620686,10.82282291,2.473566333,19.99016086,87.28560633,108.78,30.91784562,9.407382194,9.66630652,22.25225048,22.93929417
"Dasyurus_maculatus","Dasyurus_maculatus_J1876",5.508888609,8.741587841,4.63941501,2.441002811,10.3885435,6.899224784,12.7923519,47.43130223,11.77788053,12.61986994,9.410332728,105.4082005,116.9886961,9.958784811,14.48944588,8.83630405,7.659788106,133.8187264,17.28932447,3.381989038,28.98792614,95.57497589,454.3138412,30.91784562,31.00688331,16.69102689,25.89553077,30.56859475
"Dasyurus_maculatus","Dasyurus_maculatus_J2783",5.934775242,11.07995595,2.597631424,2.570470895,14.01174395,11.895447,15.15219501,53.56082121,11.77788053,14.10531896,8.565883305,113.2452111,119.2028207,12.60377328,16.77420698,11.0470837,8.123323896,133.0796489,12.63049453,3.461568492,24.37252616,95.09654109,64.59,79.05240977,32.19272348,13.51084031,21.65217336,22.93929417
"Dasyurus_viverrinus","Dasyurus_maculatus_J8049",6.71620542,11.62492632,2.375975084,2.657956243,13.75982655,11.59185206,23.03889995,69.92222485,15.97436976,19.69076831,9.927144857,119.4849205,116.9886961,16.93450505,21.35404308,13.05824957,10.44881332,130.5078937,12.837245,2.971039263,25.34140101,89.83359399,85.36,34.61497248,34.33083401,19.8193301,21.65217336,30.56859475
"Dasyurus_viverrinus","Dasyurus_maculatus_JM8066",6.664193022,12.03787255,3.597339691,2.70254963,15.60807907,12.65096772,21.51770285,62.68813859,14.00621806,18.88549588,9.186415864,118.6916289,124.4632176,15.47814442,20.13472583,11.15922813,10.48220042,128.5599648,18.83397777,2.844990168,32.85791607,103.053071,64.59,79.05240977,32.19272348,17.81259091,23.65930524,30.56859475
"Dasyurus_viverrinus","Dasyurus_maculatus_JM9725",5.326032238,8.578076039,2.326284712,2.716511955,11.24546335,10.13401084,12.7923519,44.49747555,10.74780133,13.39632965,7.364971972,125.0608058,124.4632176,11.90215281,15.91093224,9.690384173,8.252567018,132.5806509,12.48524582,3.527186818,23.95475514,85.29265229,64.59,79.98825385,31.00688331,9.66630652,21.79646968,22.93929417
