Species,11,12,13,14,15
Thylacinus_cynocephalus,197.511405015,197.511405015,197.511405015,197.511405015,197.511405015
Dasyurus_maculatus,218.94335167499997,218.94335167499997,218.94335167499997,218.94335167499997,218.94335167499997
Dasyurus_viverrinus,151.10865239666666,151.10865239666666,151.10865239666666,151.10865239666666,151.10865239666666
Pseudocheirus_peregrinus,84.55865239666666,84.55865239666666,84.55865239666666,84.55865239666666,84.55865239666666
Spilocuscus_maculatus,224.3677671766667,224.3677671766667,224.3677671766667,224.3677671766667,224.3677671766667
Trichosurus_vulpecula,89.96366667333335,89.96366667333335,89.96366667333335,89.96366667333335,89.96366667333335
Hypsiprymnodon_moschatus,114.7132312,114.7132312,114.7132312,114.7132312,114.7132312
Aepyprymnus_rufescens,184.27880269999997,184.27880269999997,184.27880269999997,184.27880269999997,184.27880269999997
Bettongia_penicillata,103.2518619075,103.2518619075,103.2518619075,103.2518619075,103.2518619075
Bettongia_tropica,106.67,106.67,106.67,106.67,106.67
Dendrolagus_bennettianus,152.95,152.95,152.95,152.95,152.95
Dendrolagus_goodfellowi,122.04,122.04,122.04,122.04,122.04
Dendrolagus_lumholtzi,267.92995825,267.92995825,267.92995825,267.92995825,267.92995825
Dendrolagus_matschiei,97.625,97.625,97.625,97.625,97.625
Dorcopsulus_vanheurni,119.39,119.39,119.39,119.39,119.39
Lagorchestes_conspicillatus,343.63344845,343.63344845,343.63344845,343.63344845,343.63344845
Lagorchestes_hirsutus,113.5053922,113.5053922,113.5053922,113.5053922,113.5053922
Lagostrophus_fasciatus,264.75995825,264.75995825,264.75995825,264.75995825,264.75995825
Macropus_fuliginosus,249.29937138600002,249.29937138600002,249.29937138600002,249.29937138600002,249.29937138600002
Macropus_giganteus,186.69292758199998,186.69292758199998,186.69292758199998,186.69292758199998,186.69292758199998
Notamacropus_agilis,311.71382905444443,311.71382905444443,311.71382905444443,311.71382905444443,311.71382905444443
Notamacropus_irma,178.39864155,178.39864155,178.39864155,178.39864155,178.39864155
Onychogalea_fraenata,145.421953475,145.421953475,145.421953475,145.421953475,145.421953475
Onychogalea_unguifera,117.0964624,117.0964624,117.0964624,117.0964624,117.0964624
Osphranter_antilopinus,186.570675764,186.570675764,186.570675764,186.570675764,186.570675764
Osphranter_robustus,168.281653935,168.281653935,168.281653935,168.281653935,168.281653935
Osphranter_rufus,408.5502679,408.5502679,408.5502679,408.5502679,408.5502679
Petrogale_brachyotis,126.1114624,126.1114624,126.1114624,126.1114624,126.1114624
Petrogale_penicillata,159.50333333333336,159.50333333333336,159.50333333333336,159.50333333333336,159.50333333333336
Petrogale_persephone,169.41984587333334,169.41984587333334,169.41984587333334,169.41984587333334,169.41984587333334
Potorous_tridactylus,91.26919143800001,91.26919143800001,91.26919143800001,91.26919143800001,91.26919143800001
Setonix_brachyurus,214.72663883333334,214.72663883333334,214.72663883333334,214.72663883333334,214.72663883333334
Thylogale_stigmatica,148.365,148.365,148.365,148.365,148.365
Thylogale_thetis,130.0,130.0,130.0,130.0,130.0
Wallabia_bicolor,222.66221692166664,222.66221692166664,222.66221692166664,222.66221692166664,222.66221692166664
'14',66.16873811829768,66.22626762949167,65.01093093363343,66.53313110020488,67.73379116069063
'25',-114.57667251586113,-140.88056787379506,-141.41343884018679,-131.09653196607647,-131.32011445117237
'37',-2.3243551850508144,1.2873623610673008,-2.4191752597598906,-5.872978525585291,-2.039237470325213
'36',145.6131872470462,148.15547369092675,145.53762965799572,147.61535920903532,143.0644758933294
'35',-18.94583553504267,-26.111620626946568,-19.390989262918332,-27.70159905782051,-27.105550583710475
'34',-15.280234319068848,-10.320243345867164,-11.059024186379668,-13.46694304451878,0.27579402273577225
'33',-24.490005526226234,-20.606817527631897,-28.86305734192583,-27.405277474277334,-25.615005341035207
'51',-371.8814100042689,-370.8589958043493,-375.2687148549065,-377.7501531490043,-376.12193250317154
'57',-22.06591732965503,-12.713162648204923,-19.723764878665996,-22.45097419338557,-15.295295766797631
'56',133.00299798345085,137.4731742965566,134.23624864404363,126.85843356566986,134.17155124714438
'63',16.617006012260028,15.734144538673126,18.16407888340607,19.968721718599262,20.887121561094297
'73',-65.41303982866052,-65.27917434530977,-63.97481204406668,-58.67704134944105,-62.32530136004865
'84',232.5265280698025,224.9083048936294,229.12343748261344,233.62795076379007,233.52737782042817
'82',-27.2869494939957,-28.002022916063503,-30.17029457825108,-29.272326629003395,-29.55293049712892
'13',116.10346556628377,122.61351596855445,130.9667479906682,131.5756409312721,123.76613458019247
'43',-262.8159289516347,-254.6425561026156,-257.1662998629034,-261.79359535361056,-235.049601662339
'50',-902.5346273618585,-901.7909238106337,-910.5376001714096,-914.1861768095553,-906.4311517589045
'48',29.107587173520734,22.438676392291462,28.418988285606623,29.98783433726218,29.86577611132882
'47',202.0622487320137,202.08308931040608,201.9839053864126,200.61519170952877,203.70888020850307
'49',0.1,0.1,0.1,0.1,0.1
'68',-279.19291406800477,-292.03206649617044,-279.6205455460119,-277.0025642308656,-280.313983994669
'60',28.10287918900741,16.220351356440897,23.54010601058696,26.35600001498733,18.486351407863893
