"Individual","Species","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Thylacinus_cynocephalus_A12447","Thylacinus_cynocephalus",12.92791812,33.95913538,8.314342064,5.361360968,35.02580438,23.60376256,12.57245184,44.51506015,9.753220061,23.28297919,11.19648838,124.0036155,102.3874976,13.20543895,21.66328202,8.071610879,7.659788106,128.6729767,20.1531454,3.168783432,21.2968149,118.8327405,115.65,40.40874154,16.88218101,33.71549248,13.69893674,19.7719785
"Thylacinus_cynocephalus_A3298","Thylacinus_cynocephalus",7.915167689,21.9464413,5.514854148,4.197880689,26.37553684,17.82873342,25.35484528,98.79464643,18.64143273,23.28297919,14.94697401,131.5404038,120.5499282,21.67356002,28.97352161,13.73805128,15.66398538,138.025919,18.56923417,6.750621394,34.81479428,172.8721369,166.86,40.40874154,8.125157133,21.51496549,13.69893674,19.7719785
"Thylacinus_cynocephalus_ANU-19-161","Thylacinus_cynocephalus",9.898693956,27.68228714,8.646307909,4.595397823,33.61517019,20.88196338,19.49965092,47.43130223,7.763618324,23.28297919,3.821710971,139.5136394,61.9141421,12.60377328,10.18585381,6.416555278,10.41386658,135.7323303,20.37608875,6.876504428,39.89772788,89.25140946,181.22,40.40874154,15.10075234,5.853643819,11.29348961,19.7719785
"Thylacinus_cynocephalus_F106839","Thylacinus_cynocephalus",10.39339282,14.28679781,3.597339691,6.525496695,7.883385946,17.84085473,11.02593258,57.1899434,6.618403291,13.71329647,16.10749562,125.7037286,77.10866784,25.18718849,38.28075223,17.16120261,19.7817393,137.3723818,16.25470435,10.94458545,34.81479428,77.43472265,115.65,40.40874154,24.33396013,17.48112179,17.6060112,19.7719785
"Thylacinus_cynocephalus_F106840","Thylacinus_cynocephalus",5.892579586,17.4331663,32.29508618,5.361360968,22.93716837,12.63760323,19.49965092,42.86905791,6.352209601,9.8579423,11.38509619,134.8931383,102.3874976,7.054770737,10.18585381,11.15922813,10.41386658,141.7216637,20.37608875,9.317547527,50.49647162,208.2734968,166.86,40.40874154,11.55452253,23.08058869,10.84789975,19.7719785
"Thylacinus_cynocephalus_F106843","Thylacinus_cynocephalus",9.060203685,9.941924457,3.597339691,5.959077197,23.07354811,22.49354483,10.51955404,27.53026646,4.877178447,7.97950717,11.6182407,125.7037286,97.99629986,32.98565439,47.80256879,23.93685931,24.85807942,136.3942891,24.80287097,5.304210128,23.95475514,124.9969603,166.86,40.40874154,8.125157133,8.060954931,5.314987956,19.7719785
"Thylacinus_cynocephalus_SAMAM1960","Thylacinus_cynocephalus",7.652297345,14.28679781,33.08613196,6.525496695,23.0358029,19.62043942,13.45446504,44.51506015,8.651688214,7.302997672,7.301935521,119.295126,40.14357621,11.90215281,21.17129723,9.833893264,5.299833394,145.9606016,20.626407,1.867933085,31.61639449,128.6688837,185.5748891,40.40874154,17.48721207,17.48112179,11.29348961,19.7719785
"Thylacinus_cynocephalus_SAMAM95","Thylacinus_cynocephalus",12.54199654,32.83502444,7.299846628,5.001653984,36.86846741,22.91927841,30.4251634,130.2841215,23.53258806,29.27253205,17.6725325,125.7037286,127.8761321,26.48163431,36.46721682,18.18981528,18.61704951,135.7005187,24.80287097,7.673541243,46.99750072,208.970395,139.04,40.40874154,14.52973395,33.71549248,18.69149119,19.7719785
"Dasyurus_maculatus_J1876","Dasyurus_maculatus",9.060203685,16.5856724,50.34301897,5.361360968,22.93716837,19.62043942,27.57869782,56.05278824,9.753220061,10.56394306,11.19648838,127.6581881,70.25562488,9.958784811,14.48944588,8.83630405,7.659788106,133.8187264,22.42850168,5.304210128,38.46341026,148.770539,418.3399165,17.67384041,20.60068636,26.86124984,13.69893674,16.19836884
"Dasyurus_maculatus_J2783","Dasyurus_maculatus",5.934775242,11.07995595,2.597631424,2.570470895,14.01174395,11.895447,15.15219501,53.56082121,11.77788053,14.10531896,8.565883305,113.2452111,119.2028207,12.60377328,16.77420698,11.0470837,8.123323896,133.0796489,12.63049453,3.461568492,24.37252616,95.09654109,127.85,19.80585108,15.56049875,17.52812469,11.29348961,33.38879506
"Dasyurus_maculatus_J8049","Dasyurus_maculatus",6.71620542,11.62492632,2.375975084,2.657956243,13.75982655,11.59185206,15.74865525,33.79367073,9.549045444,10.83525449,5.210850123,126.6685295,40.14357621,7.422731641,10.90630298,5.472284765,4.796337005,134.0785515,18.56923417,1.430349122,34.88624753,89.55860566,127.85,17.67384041,18.93471799,14.41643194,5.93366381,16.19836884
"Dasyurus_maculatus_JM8066","Dasyurus_maculatus",6.664193022,12.03787255,3.597339691,2.70254963,15.60807907,12.65096772,30.16107489,44.54065701,10.48768123,12.38325867,7.891417306,122.1199848,36.81722557,8.113017584,8.785902187,9.690384173,6.992380518,140.8524837,13.23785475,1.430349122,24.51427662,143.8097752,454.3138412,17.67384041,23.44724514,28.91695487,16.38501013,8.286608745
"Dasyurus_maculatus_JM9725","Dasyurus_maculatus",5.326032238,8.578076039,2.326284712,2.716511955,11.24546335,10.13401084,12.7923519,44.49747555,10.74780133,13.39632965,7.364971972,125.0608058,124.4632176,11.90215281,15.91093224,9.690384173,8.252567018,132.5806509,12.48524582,3.527186818,23.95475514,85.29265229,127.85,17.67384041,15.56049875,10.8634889,5.93366381,8.286608745
"Dasyurus_maculatus_M37890","Dasyurus_maculatus",6.09440871,11.01071588,2.909714258,2.512597051,14.15857127,11.26830517,10.51955404,55.79551141,10.98216349,13.36198322,8.565883305,123.8887511,55.49315457,12.82046866,17.53449569,11.15922813,8.870903698,134.2182937,13.86629706,3.032231305,23.77337176,98.71455374,96.5,17.67384041,20.60068636,26.44535845,14.08720035,27.36079467
"Dasyurus_maculatus_S497","Dasyurus_maculatus",4.835245126,9.666786406,2.174782609,2.441002811,11.44699291,9.241402592,10.863089,42.29046622,8.651688214,7.014712581,6.228644557,123.8420015,52.86876337,10.54476379,13.05014383,9.685889436,8.323102134,135.702905,10.94282727,2.971039263,19.33854559,81.60090488,85.36,17.67384041,10.82775054,8.060954931,5.314987956,9.399234002
"Dasyurus_maculatus_SAMA-M27408","Dasyurus_maculatus",5.199184178,9.941924457,2.486533871,2.767804965,12.1472526,9.728074407,13.45446504,57.1899434,10.14406113,7.014712581,8.777437921,116.366996,104.8469178,12.00365737,14.9106195,10.00396505,7.589419716,131.9899714,11.5104436,2.925633089,24.51427662,95.09654109,281.9,17.67384041,7.362438917,17.81259091,5.93366381,8.286608745
"Dasyurus_viverrinus_JM16666","Dasyurus_viverrinus",5.934775242,6.179555362,40.72547165,6.128447163,11.05251956,8.82503036,13.45446504,50.79546662,6.352209601,10.02151662,11.38509619,134.8931383,70.51584176,11.70530392,14.37138441,15.69492431,8.424836964,136.3942891,20.37608875,2.844990168,50.49647162,79.58308777,544.1005358,17.67384041,7.972295169,8.060954931,5.780029158,9.399234002
"Dasyurus_viverrinus_JM19595","Dasyurus_viverrinus",4.305687829,7.660085506,1.813370588,4.356899388,10.97998851,10.08816822,10.940734,44.54065701,8.651688214,10.72834642,5.795831034,116.595748,104.8469178,9.02,11.94,6.68,5.8,120.6087,9.64,1.88,20.7345,71.14,111.18,17.67384041,20.60068636,17.52812469,11.15606354,8.286608745
"Dasyurus_viverrinus_JM22012","Dasyurus_viverrinus",4.632413713,7.607846234,2.136300474,2.172891054,11.6299535,8.335355518,10.863089,42.76763569,8.419871135,10.46561087,5.636531098,118.6916289,124.3866424,9.76,13.2,7.38,6.2,126.9408,7.224621165,3.173685499,20.7345,87.62,273,15.64002294,6.877352998,6.943581199,5.314987956,8.286608745
"Pseudocheirus_peregrinus_JM18721","Pseudocheirus_peregrinus",2.256228654,4.550004466,1.963817565,1.694077688,7.654295442,6.462702508,34.33285454,57.08585997,10.14406113,8.394632623,5.961199597,124.2136442,59.42707671,7.720954583,9.753572371,3.104920646,6.160848658,135.7275711,8.417542399,2.351773246,15.91719813,63.77195337,139.04,9.484753189,28.41961236,17.52812469,16.95610184,3.940741799
"Pseudocheirus_peregrinus_M12547","Pseudocheirus_peregrinus",2.24610588,4.135630454,2.487485075,2.044214197,7.113902688,6.571497899,7.610737064,25.75339168,6.005256723,6.832738057,3.821710971,127.6581881,117.2096277,6.708634292,8.787216639,2.570418001,5.110653336,146.8315079,6.494754906,1.358248299,13.66267921,57.53280885,119.92,9.484753189,3.929842994,5.853643819,2.982089857,3.940741799
"Pseudocheirus_peregrinus_UMZC-A9.26","Pseudocheirus_peregrinus",5.326032238,5.365107244,8.646307909,7.113752871,12.42412678,11.00798494,7.18931234,42.86905791,6.501255871,7.302997672,8.431613511,129.6037007,77.10866784,11.70530392,14.48944588,13.05824957,8.252567018,140.5141187,7.955359898,1.867933085,19.32046724,73.27315099,71.54595719,9.484753189,7.972295169,14.41643194,7.587187558,3.940741799
"Spilocuscus_maculatus_AMM11634","Spilocuscus_maculatus",3.618317884,4.497237299,7.299846628,2.767804965,7.597858856,9.691172418,33.270235,57.42470487,12.30537944,18.80111456,9.094568279,119.295126,36.81722557,15.30265556,18.11391531,5.601120139,13.42955166,135.2161811,13.60688722,2.844990168,28.93969123,100.8265443,88.10640463,35.47782313,16.30618347,26.44535845,17.76016558,29.84646547
"Spilocuscus_maculatus_J16724","Spilocuscus_maculatus",5.508888609,12.62492765,2.38725858,4.597997687,13.55680294,16.20960346,13.45446504,50.79546662,10.1958988,15.00602809,8.427004015,122.5586198,50.61503111,11.70530392,16.31651167,2.570418001,6.115581777,128.6729767,11.44301158,3.313405693,20.7345,98.71455374,88.10640463,40.40874154,16.30618347,31.6779487,16.38501013,39.52030693
"Spilocuscus_maculatus_JM18184","Spilocuscus_maculatus",4.104189175,10.19409312,2.210134557,2.249916432,11.7419784,11.06278205,10.55011566,38.50739848,6.985934851,10.69395565,5.961199597,121.4865642,37.89536904,10.34234956,13.61008698,5.146625637,6.899925767,132.0233499,9.286325328,2.8761665,18.91144533,72.11513679,64.59,55.94502756,3.929842994,28.91695487,10.3076868,13.75941633
"Trichosurus_vulpecula_JM10017","Trichosurus_vulpecula",4.026580449,7.335170706,2.389532026,2.356936722,11.66705859,12.21641046,12.25347803,42.86905791,7.030669179,11.244309,7.030803224,125.9349811,33.52720256,9.686387847,14.86275282,6.25751364,6.992380518,132.1136668,11.5104436,2.367513617,21.14452201,87.62,87.17,55.94502756,24.33396013,33.71549248,17.76016558,6.026149985
"Trichosurus_vulpecula_JM1872","Trichosurus_vulpecula",3.739994828,5.967429011,2.408297053,2.723880298,9.879983995,10.57740878,10.86529435,42.05805717,7.599168314,11.68049076,6.228644557,125.8548418,36.81722557,9.704042749,14.10302116,6.837893751,8.331838239,134.2580808,13.23785475,1.562813915,23.77337176,77.43472265,281.9,32.52958713,11.55452253,17.52812469,10.3076868,6.026149985
"Trichosurus_vulpecula_JM8567","Trichosurus_vulpecula",4.16468952,6.778379659,1.813370588,2.762869828,9.376770314,9.945692928,10.38230791,40.78557125,7.763618324,12.38325867,6.351913599,125.7464092,34.39413929,10.59199135,14.62583949,6.628274783,8.458762079,131.5576551,10.32395416,1.452874212,14.794912,139.5498438,166.86,44.30507399,10.82775054,5.245814495,8.035110785,6.026149985
"Trichosurus_vulpecula_M39088","Trichosurus_vulpecula",4.305687829,10.41503369,2.63691424,3.699013878,14.57312796,15.278908,14.57858858,57.1899434,10.40921909,16.96262689,9.410332728,134.8931383,38.95561236,13.56903445,20.13472583,8.071610879,10.5485366,142.5069455,13.74807677,2.32442544,27.82987271,108.4064897,85.36,44.30507399,24.33396013,8.060954931,11.15606354,6.026149985
"Trichosurus_vulpecula_SAMAM20643","Trichosurus_vulpecula",3.372412336,6.535606983,8.471266975,2.277804344,11.98339224,8.335355518,7.18931234,42.29046622,4.877178447,7.014712581,7.364971972,127.293354,49.04061296,10.55231812,13.94320986,8.182451128,8.135243785,133.4640597,12.837245,1.893631523,20.60248909,87.64502027,119.39,15.49249065,7.362438917,10.03450528,5.835271588,6.026149985
"Trichosurus_vulpecula_UMZC-A9.16","Trichosurus_vulpecula",5.339521686,11.07995595,11.26077993,4.197880689,14.15857127,9.614612819,16.04660949,48.16978611,6.518052523,8.174653219,7.127139198,123.2109796,97.99629986,7.054770737,9.847610937,6.416555278,6.542683451,133.0018246,16.12463982,1.909893225,25.37771774,102.8655821,98.78953762,44.30507399,9.407382194,13.09128808,7.115127606,6.026149985
"Hypsiprymnodon_moschatus_J6249","Hypsiprymnodon_moschatus",2.316560384,4.258437628,12.82235328,1.67558087,5.031426823,4.770180603,22.58532298,29.41023638,4.877178447,8.133475841,4.857329249,132.4386123,82.8151538,5.452851079,7.317594272,4.772677751,6.115581777,140.5141187,7.770504805,5.75969607,21.19025699,77.43472265,181.22,11.16109471,20.60068636,28.91695487,14.33744521,5.777853212
"Hypsiprymnodon_moschatus_JM6187","Hypsiprymnodon_moschatus",3.279383828,6.179555362,2.597631424,5.045136488,13.66775676,11.01171973,13.45446504,29.41023638,4.913100691,6.238077938,3.506932298,129.7770208,31.1377437,5.579976123,7.317594272,4.625537792,4.471247977,154.0158582,7.224621165,1.800080794,14.794912,59.25409932,136.47,11.16109471,16.30618347,36.80669052,14.33744521,5.777853212
"Hypsiprymnodon_moschatus_M4154","Hypsiprymnodon_moschatus",3.618317884,11.07995595,7.299846628,3.244912406,13.88333379,8.043660361,16.04660949,53.91035479,9.753220061,7.406415462,4.795541127,125.9349811,55.49315457,6.29980514,7.774336531,4.90168826,4.796337005,145.9606016,8.063694062,1.362987257,14.59292393,60.04154957,454.3138412,11.16109471,5.257472891,5.245814495,3.506876373,5.777853212
"Hypsiprymnodon_moschatus_M42749","Hypsiprymnodon_moschatus",2.735581025,4.724183334,33.08613196,1.624847396,6.672155937,5.108917483,7.18931234,27.10691323,4.877178447,6.311971627,3.594378805,123.4631739,59.86977684,5.575315629,7.416505085,4.772677751,4.728139859,147.6467776,7.770504805,1.430349122,12.99957728,57.93386473,62.74,11.16109471,7.362438917,21.51496549,7.115127606,5.777853212
