,dentary,dentary,dentary,dentary,dentary,dentary,scapula,scapula,scapula,scapula,scapula,scapula,scapula,humerus,humerus,humerus,humerus,humerus,femur,femur,femur,femur,Tibia,Calcaneus,Calcaneus,Calcaneus,Calcaneus,Calcaneus
Dendrolagus_bennettianus,5.491034193,6.830368756,30.63019396,3.833258226,12.23373358,13.68253033,37.20547945,69.92222485,15.97436976,18.88549588,11.2549852,119.295126,109.9150135,16.93450505,21.66328202,9.217708503,12.06078832,133.0018246,23.9528918,6.876504428,47.32757882,153.0173649,NA,36.43392481,18.93471799,24.61055181,14.33744521,16.19836884
Dendrolagus_goodfellowi,5.791100264,9.30403856,39.18058772,3.489557438,14.07955747,13.38946906,34.18318974,61.9732645,13.50040273,19.10013066,11.1823496,122.2247939,56.44750523,14.99018576,21.00849979,9.744672685,12.99517584,137.6440135,20.63475834,7.00939717,38.44352755,136.315,137.755,NA,NA,NA,NA,NA
Dendrolagus_lumholtzi,6.06473857,7.507032834,33.08613196,3.498688202,13.03150321,13.93372845,29.18540735,47.80054417,11.28037622,16.78147163,8.074924322,116.1470715,54.34666168,13.49679616,19.0851429,9.642321746,10.52339756,136.0569709,18.80044267,4.85801555,40.51178184,114.93,115.65,NA,NA,NA,NA,NA
Dendrolagus_matschiei,5.813811331,8.720692075,7.575301311,3.14973504,17.10348054,13.49659439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.18859788,5.916659686,37.53032486,135.77,132.51,NA,NA,NA,NA,NA
Dorcopsis_atrata,5.51803543,7.547265712,6.25,3.629394653,12.73527476,11.69237421,39.11482696,71.32063987,12.82971883,14.65003077,12.02124017,129.8357706,63.68124404,15.63992165,22.57298292,13.06126349,12.06457019,140.0483672,18.94195791,4.631786246,NA,152.5,170.03,27.46974134,14.37051038,15.99605067,9.923510071,13.62883846
Dorcopsis_luctuosa,4.5860333,6.986587718,25.77527066,3.548708336,10.72809194,11.85486771,28.88581682,55.66438248,10.48407585,11.51439089,10.12962961,118.6175317,101.9424423,12.04355437,15.32959264,9.152894951,8.593026234,126.9668203,19.35223494,3.67101235,36.29948998,122.2704634,155.7638002,26.91407973,14.56027386,16.62415503,10.4608204,13.8984941
Dorcopsis_muelleri,5.123112034,7.381728401,4.71,3.707942648,12.25144249,12.55110391,37.4870876,68.20216492,12.21967228,14.46154476,11.6515389,117.9689341,57.30205011,16.44648018,21.26264663,13.56688887,12.00812391,136.8792197,19.7930651,4.523970736,38.58682219,155.405652,203.3690599,28.42865366,14.40155755,16.17482792,10.34364218,14.31584798
Dorcopsulus_vanheurni,3.292913339,4.620932291,24.04242585,2.530469181,7.534244769,7.663972754,21.51770285,33.79367073,6.518052523,7.302997672,5.865515938,125.9145292,76.03308897,6.962766544,10.53355948,6.172272831,5.929531226,139.1495422,12.7192612,2.931554033,21.74957395,97.4,119.39,NA,NA,NA,NA,NA
Lagorchestes_conspicillatus,5.122606756,7.517446479,4.63941501,5.999956382,13.88333379,11.00798494,19.53962277,37.81849329,6.618403291,7.841574338,5.210850123,127.4565205,74.67337676,7.238751189,10.28563508,6.132867465,6.485453917,133.5655127,16.33268119,3.359743745,29.03162738,152.75,166.86,27.17335538,10.82775054,13.51084031,8.035110785,14.93377265
Lagorchestes_hirsutus,3.814277352,5.44407457,18.96655426,3.688431407,10.93841386,8.883676111,13.64464291,27.41704052,5.4750217,6.648971871,4.674337108,120.8522764,73.62502772,5.804360861,8.227190802,5.114954529,4.708719478,133.6875952,12.4828148,2.482549858,21.44748913,92.215,123.885,20.59615963,9.407382194,10.8634889,5.84353515,10.84131335
Lagostrophus_fasciatus,3.372412336,6.001228144,32.55773213,3.054021314,9.971973243,10.79540581,10.21794029,28.9934613,4.735511973,6.809678875,4.529069318,139.1555311,61.83179744,6.360355947,8.471444013,5.012065651,5.040247776,133.2363257,13.14000144,2.482015695,23.75690994,87.28,111.18,NA,NA,NA,NA,NA
Macropus_fuliginosus,9.224552066,16.01730925,11.83290976,8.806956752,23.45319856,20.9579543,46.38627381,78.66823356,18.73954195,21.35518244,12.76161534,122.1199848,116.9886961,23.00014999,25.45387428,15.88360664,17.09914431,135.6062168,38.29915258,6.553035767,69.22737838,235.9617648,418.3399165,69.03697913,28.41961236,31.6779487,18.69149119,36.10979129
Macropus_giganteus,9.643115533,15.05406798,12.16717069,7.744821286,23.23783463,21.00582228,50.49152787,111.9971659,23.24456401,27.88654296,19.86031321,130.9572592,83.48740816,30.74542712,41.44782708,23.85007214,25.25599153,125.6438573,38.01484043,8.541068378,80.17018963,281.1011742,520.4068969,72.86282684,29.12954775,32.72027625,21.06777586,40.02455009
Notamacropus_agilis,7.270065552,12.30710441,28.79336945,6.489076935,15.69389813,14.86112051,40.53016346,88.44710676,17.50594111,19.59997609,16.10749562,120.3793007,70.25562488,20.85802022,28.72877749,18.30977256,16.49264883,136.4493462,28.14086332,5.36963753,51.11433019,194.2659009,273,46.06112272,20.49079565,23.75755524,13.5409808,24.71075334
Notamacropus_irma,5.339521686,7.122732318,43.5060559,5.045136488,15.08624678,12.0593825,26.64354287,42.29046622,9.549045444,10.56394306,7.127139198,127.293354,82.8151538,8.9,12,7.88,9.04,142.7669,20.64926536,3.90942711,42.34352532,153.6636092,237.4072831,40.49706004,16.30618347,18.21699533,10.84789975,20.52459293
Onychogalea_fraenata,3.976246122,6.759129768,7.145827227,4.559908213,10.42050007,10.96686291,21.04248695,46.91353035,8.204158102,11.81833228,8.061591689,123.2902921,54.5041731,12.05974152,15.91445767,9.178587148,8.854729851,126.7481159,16.19149479,3.645391168,33.70397858,114.4,175.04,30.91784562,14.52973395,17.52812469,9.802405615,15.63984486
Onychogalea_unguifera,4.97229246,8.872842997,9.481426928,5.959077197,13.3483506,10.58914872,22.2259888,44.51506015,8.533228509,11.4624411,6.561580605,121.5249556,106.0977495,10.49463373,14.11778151,7.21701533,7.664708601,126.6454817,18.83397777,3.81191938,35.10951431,142.5883119,NA,34.61497248,15.56049875,16.83786842,9.213135775,17.87193754
Osphranter_antilopinus,9.370923362,12.90737844,37.93752358,6.985294168,19.46690872,19.62043942,63.61938471,103.8522374,24.2272837,27.22698883,19.92496084,124.2136442,89.59821683,NA,NA,NA,NA,NA,42.61129841,7.373301363,70.60067173,265.4361275,454.3138412,74.05332395,28.52824056,31.74415958,20.35155141,39.97629152
Osphranter_robustus,9.532362457,13.85938403,76.29366787,7.457303315,23.14806551,20.3388396,66.25100594,109.4267199,23.02529795,25.9049404,18.90081631,129.6906328,94.96938857,24.95142279,34.97293567,16.30531556,18.56832323,132.182269,41.18680577,7.999258601,76.04015017,270.0534281,NA,65.95829239,26.04874585,28.86955206,19.19353782,35.44889691
Osphranter_rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.55931455,27.03063926,18.2416436,18.44086492,144.1397983,41.17528014,10.42038206,76.6386893,279.9767151,544.1005358,NA,NA,NA,NA,NA
Petrogale_brachyotis,3.618317884,6.932581744,6.61,5.192507286,11.98339224,11.37117936,18.64362777,47.36762683,8.572223396,9.8579423,6.847232668,120.9010818,61.34580854,8.860171891,13.75574491,6.152104755,6.918580517,135.7323303,17.21474454,3.661913913,30.9229211,126.83,150.54,NA,NA,NA,NA,NA
Petrogale_penicillata,4.562065377,6.392874582,5.301,3.417808219,12.42412678,11.08557973,22.33410952,47.04877259,9.093347059,10.42838555,7.82037566,120.5035291,61.48940966,11.02707148,15.46300468,8.258029108,8.56517445,135.77411,19.31001415,5.064324616,37.52213281,141.675,179.295,35.47782313,13.96213756,16.69102689,10.3076868,18.4881007
Petrogale_persephone,4.957341517,6.697319332,6.53951803,4.400830385,12.20124815,11.16638419,29.49159775,51.75828428,10.32322384,12.06912803,9.263843764,122.450188,67.99482965,11.88601962,15.50851603,9.23056113,8.385974464,135.3916743,20.30500623,5.611374528,39.43720515,147.2815346,NA,NA,NA,NA,NA,NA
Potorous_tridactylus,3.23912566,5.772331303,23.01169769,2.443711146,7.740622401,7.814432789,12.08683789,37.46362559,6.411076922,8.07111416,4.847308296,133.1276632,41.88735901,6.660071967,8.884075556,6.1889817,5.593082457,138.0592788,14.68337773,2.747382646,22.9820202,82.36,90.61,16.35581199,8.125157133,9.66630652,5.93366381,8.60257661
Setonix_brachyurus,4.414217938,7.187454629,31.32468748,2.688190312,11.28056742,10.53706578,16.04660949,36.49172501,5.856097606,8.133475841,5.220499577,130.52979,77.10866784,8.911432604,11.53937037,6.43146682,6.893629936,136.8664107,15.8429252,2.450107079,29.29352336,99.28,106.45,25.48784905,12.49990496,14.41643194,10.42774658,13.75941633
Thylogale_stigmatica,4.798909011,6.126071606,5.165,4.119735196,11.14404956,11.0460714,33.33918538,57.42470487,10.14406113,11.62207086,9.186415864,107.9301888,86.11420569,10.14372252,13.57995632,7.542066439,8.119606777,129.8683629,19.89831491,2.845604852,31.38509455,128.48,160.26,NA,NA,NA,NA,NA
Thylogale_thetis,4.660450731,6.660218942,5.76,4.275339247,11.30580814,11.5102427,29.61686163,53.30323032,10.11743123,11.72871285,8.259657442,115.608216,81.49302389,10.9730535,15.75614968,8.753143149,8.618846756,127.3776365,21.09674827,3.490038115,34.82597491,126.48,161.83,32.52958713,15.10075234,17.81259091,11.08041633,16.17247432
Wallabia_bicolor,6.109330065,7.724479897,43.84292569,5.633894093,15.40119216,14.42113167,31.97495074,62.51721919,10.89316688,13.74026185,10.30600442,130.8335958,78.69050457,15.45754905,20.83628984,12.33623291,12.55604417,137.1304546,24.56119206,6.182461934,47.97308744,188.835,254.95,50.12505077,20.66761073,23.98016197,15.26071128,26.75394446
