"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Aepyprymnus_rufescens",84.75231161375,51.58239774125,49.79807734875,50.31769731625,53.61099293125,49.90644444,49.79807734875,52.7296853025,51.02264938375,81.92643415125,83.65857578875,50.4566686775,50.584995665,61.26387442,50.45246525,82.49365117625,72.6308763,52.150873855,78.92080888875,50.31769731625,67.14588546125,52.423595205,50.1537828925,84.09476200125,49.309079725
"Bettongia_penicillata",70.2487038825,72.14040303,70.78330058,70.465438065,71.297025725,69.42619813,113.559962625,92.03472949,72.4373939925,113.061664375,70.78330058,77.013905705,114.769111925,112.2640072,116.6006629,113.9340368,71.6058063325,112.2640072,70.4829268275,68.2314687,115.728290475,87.3674087125,69.920875035,113.559962625,89.972002415
"Bettongia_tropica",52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285,52.670165285
"Dasyurus_maculatus",57.2195217225,99.777451895,121.555154325,58.45138035875,57.7372416975,120.517919925,121.81387535,119.0546831075,58.30013923,58.05056325875,55.41754486875,66.5942314825,57.6263868475,57.896172955,56.26224803625,107.54054201625,123.9388001375,123.723482175,111.4533458725,123.3246535875,125.066367125,58.88097281625,57.340628025,87.43163788,56.61151263375
"Dasyurus_viverrinus",116.1454603,89.3963908533333,119.0365641,119.0365641,117.898925933333,87.87589983,87.58692092,116.1454603,116.594496133333,115.481062633333,119.0365641,117.898925933333,116.594496133333,116.594496133333,117.898925933333,117.898925933333,87.87589983,88.6835952566667,109.07662002,87.58692092,105.30451583,117.873400866667,116.594496133333,117.898925933333,117.898925933333
"Dendrolagus_bennettianus",70.5263786,74.43531293,113.5623206,74.43531293,97.621526045,117.15082795,117.18911555,74.43531293,117.15082795,73.366119535,71.72110803,113.5623206,74.43531293,74.43531293,115.23247085,115.23247085,72.154576395,76.77307765,115.23247085,117.15082795,115.23247085,73.366119535,115.23247085,73.90519127,114.5589171
"Dendrolagus_goodfellowi",58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333,58.9164693133333
"Dendrolagus_lumholtzi",46.12101536,88.40747349,88.94306904,88.42661729,86.77474119,45.02897374,89.279845915,83.185765465,46.38607619,86.613219815,88.089840415,88.44477079,44.696669855,90.239024465,88.089840415,90.258168265,44.976172055,46.1165403225,46.65113702,44.7594378725,87.111518065,53.9660390075,89.38579584,45.02897374,44.370400485
"Dendrolagus_matschiei",37.89536904,37.26885775,126.13138725,38.48040089,124.3866424,36.144754165,127.8761321,121.83301915,38.4254907,124.21303015,121.83301915,34.51655637,38.57917218,126.16967485,127.8761321,32.33247313,33.960670925,34.39413929,36.24140746,35.7112858,40.14357621,126.16967485,124.42493,37.89536904,124.3866424
"Dorcopsulus_vanheurni",101.954610535,101.954610535,57.494350665,55.21361413,101.954610535,98.291508585,100.248153285,97.617954835,100.248153285,53.585416335,56.42515727,57.494350665,100.209865685,101.954610535,98.291508585,55.21361413,54.780145765,57.494350665,58.08833259,53.585416335,57.494350665,91.065419235,53.585416335,55.21361413,53.585416335
